C:\Users\emilbp\PhD\Projects\graphene-production\data\derived_data\xps\20170920_Gr-NH2_for_Radisurf\GrNH2.vms
Survey/2
	Characteristic Energy eV	1486.69	Acquisition Time s	0.2
KE_Survey/2	BE_Survey/2	CPS_Survey/2	Background_Survey/2
136.706	1349.98	51190	51190
137.206	1349.48	50260	50260
137.706	1348.98	51245	51245
138.206	1348.48	50730	50730
138.706	1347.98	50375	50375
139.206	1347.48	51185	51185
139.706	1346.98	50755	50755
140.206	1346.48	50225	50225
140.706	1345.98	50800	50800
141.206	1345.48	51300	51300
141.706	1344.98	51010	51010
142.206	1344.48	50200	50200
142.706	1343.98	50275	50275
143.206	1343.48	50360	50360
143.706	1342.98	49745	49745
144.206	1342.48	49890	49890
144.706	1341.98	50585	50585
145.206	1341.48	50630	50630
145.706	1340.98	50750	50750
146.206	1340.48	51095	51095
146.706	1339.98	50960	50960
147.206	1339.48	50735	50735
147.706	1338.98	50270	50270
148.206	1338.48	50280	50280
148.706	1337.98	50225	50225
149.206	1337.48	50905	50905
149.706	1336.98	50950	50950
150.206	1336.48	50965	50965
150.706	1335.98	50620	50620
151.206	1335.48	50865	50865
151.706	1334.98	51195	51195
152.206	1334.48	50400	50400
152.706	1333.98	50680	50680
153.206	1333.48	50750	50750
153.706	1332.98	50705	50705
154.206	1332.48	51225	51225
154.706	1331.98	50870	50870
155.206	1331.48	51420	51420
155.706	1330.98	50145	50145
156.206	1330.48	51125	51125
156.706	1329.98	50755	50755
157.206	1329.48	51110	51110
157.706	1328.98	50925	50925
158.206	1328.48	51225	51225
158.706	1327.98	50400	50400
159.206	1327.48	50710	50710
159.706	1326.98	50275	50275
160.206	1326.48	50580	50580
160.706	1325.98	51060	51060
161.206	1325.48	50985	50985
161.706	1324.98	50225	50225
162.206	1324.48	51220	51220
162.706	1323.98	51260	51260
163.206	1323.48	50935	50935
163.706	1322.98	50770	50770
164.206	1322.48	50385	50385
164.706	1321.98	49650	49650
165.206	1321.48	50850	50850
165.706	1320.98	51200	51200
166.206	1320.48	51915	51915
166.706	1319.98	51445	51445
167.206	1319.48	51335	51335
167.706	1318.98	51215	51215
168.206	1318.48	51745	51745
168.706	1317.98	50465	50465
169.206	1317.48	51485	51485
169.706	1316.98	50960	50960
170.206	1316.48	50495	50495
170.706	1315.98	51040	51040
171.206	1315.48	50495	50495
171.706	1314.98	50780	50780
172.206	1314.48	51095	51095
172.706	1313.98	51020	51020
173.206	1313.48	50710	50710
173.706	1312.98	50825	50825
174.206	1312.48	50735	50735
174.706	1311.98	51325	51325
175.206	1311.48	51140	51140
175.706	1310.98	50965	50965
176.206	1310.48	51270	51270
176.706	1309.98	51645	51645
177.206	1309.48	51425	51425
177.706	1308.98	51910	51910
178.206	1308.48	51825	51825
178.706	1307.98	51635	51635
179.206	1307.48	52060	52060
179.706	1306.98	51795	51795
180.206	1306.48	52865	52865
180.706	1305.98	52775	52775
181.206	1305.48	53175	53175
181.706	1304.98	54135	54135
182.206	1304.48	54700	54700
182.706	1303.98	54170	54170
183.206	1303.48	53870	53870
183.706	1302.98	53220	53220
184.206	1302.48	52945	52945
184.706	1301.98	52930	52930
185.206	1301.48	53925	53925
185.706	1300.98	53375	53375
186.206	1300.48	52890	52890
186.706	1299.98	53355	53355
187.206	1299.48	52440	52440
187.706	1298.98	53165	53165
188.206	1298.48	52885	52885
188.706	1297.98	52360	52360
189.206	1297.48	53000	53000
189.706	1296.98	52855	52855
190.206	1296.48	53510	53510
190.706	1295.98	52395	52395
191.206	1295.48	52950	52950
191.706	1294.98	53515	53515
192.206	1294.48	53575	53575
192.706	1293.98	53480	53480
193.206	1293.48	53355	53355
193.706	1292.98	53300	53300
194.206	1292.48	53355	53355
194.706	1291.98	53255	53255
195.206	1291.48	53560	53560
195.706	1290.98	53700	53700
196.206	1290.48	53540	53540
196.706	1289.98	54255	54255
197.206	1289.48	53710	53710
197.706	1288.98	53195	53195
198.206	1288.48	54585	54585
198.706	1287.98	53590	53590
199.206	1287.48	53650	53650
199.706	1286.98	54310	54310
200.206	1286.48	54870	54870
200.706	1285.98	54785	54785
201.206	1285.48	54395	54395
201.706	1284.98	54425	54425
202.206	1284.48	53975	53975
202.706	1283.98	54660	54660
203.206	1283.48	54815	54815
203.706	1282.98	54760	54760
204.206	1282.48	55040	55040
204.706	1281.98	54105	54105
205.206	1281.48	53750	53750
205.706	1280.98	55350	55350
206.206	1280.48	54700	54700
206.706	1279.98	54355	54355
207.206	1279.48	54615	54615
207.706	1278.98	55265	55265
208.206	1278.48	55355	55355
208.706	1277.98	55620	55620
209.206	1277.48	55275	55275
209.706	1276.98	54690	54690
210.206	1276.48	54795	54795
210.706	1275.98	55050	55050
211.206	1275.48	55965	55965
211.706	1274.98	56080	56080
212.206	1274.48	54835	54835
212.706	1273.98	55505	55505
213.206	1273.48	55215	55215
