C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
C 1s/18
	Characteristic Energy eV	1486.69	Acquisition Time s	1
KE_C 1s/18	BE_C 1s/18	CPS_C 1s/18	C=C (sp2)_1_C 1s/18	C-O/C-N_2_C 1s/18	C=O_3_C 1s/18	p-p* (SUS)_4_C 1s/18	C-C (sp3)_5_C 1s/18	Background_C 1s/18	Envelope_C 1s/18
1186.36	300.334	1137	1192.69	1137	1137	1137	1137	1137	1192.69
1186.46	300.234	1083	1138.95	1083	1083	1083	1083	1083	1138.95
1186.56	300.134	1091	1147.2	1091	1091	1091	1091	1091	1147.2
1186.66	300.034	1103	1159.45	1103	1103	1103	1103	1103	1159.45
1186.76	299.934	1092	1148.71	1092	1092	1092	1092	1092	1148.71
1186.86	299.834	1051	1107.98	1051	1051	1051	1051	1051	1107.98
1186.96	299.734	1094	1151.26	1094	1094	1094	1094	1094	1151.26
1187.06	299.634	1132	1189.55	1132	1132	1132	1132	1132	1189.55
1187.16	299.534	1076	1133.83	1076	1076	1076	1076	1076	1133.83
1187.26	299.434	1044	1102.12	1044	1044	1044	1044	1044	1102.12
1187.36	299.334	1077	1135.4	1077	1077	1077	1077	1077	1135.4
1187.46	299.234	1061	1119.69	1061	1061	1061	1061	1061	1119.69
1187.56	299.134	1086	1144.98	1086	1086	1086	1086	1086	1144.98
1187.66	299.034	1077	1136.31	1077	1077	1077	1077	1077	1136.31
1187.76	298.934	1061	1120.63	1061	1061	1061	1061	1061	1120.63
1187.86	298.834	1050	1109.95	1050	1050	1050	1050	1050	1109.95
1187.96	298.734	1040	1100.28	1040	1040	1040	1040	1040	1100.28
1188.06	298.634	1022	1082.6	1022	1022	1022	1022	1022	1082.6
1188.16	298.534	1068	1128.93	1068	1068	1068	1068	1068	1128.93
1188.26	298.434	1031	1092.25	1031	1031	1031	1031	1031	1092.25
1188.36	298.334	1044	1105.62	1044	1044	1044	1044	1044	1105.62
1188.46	298.234	1047	1108.99	1047	1047	1047	1047	1047	1108.99
1188.56	298.134	970	1032.36	970	970	970	970	970	1032.36
1188.66	298.034	1041	1103.73	1041	1041	1041	1041	1041	1103.73
1188.76	297.934	1039	1102.1	1039	1039	1039	1039	1039	1102.1
1188.86	297.834	1000	1063.47	1000	1000	1000	1000	1000	1063.47
1188.96	297.734	1042	1105.84	1042	1042	1042	1042	1042	1105.84
1189.06	297.634	1042	1106.24	1042	1042	1042	1042	1042	1106.24
1189.16	297.534	1001	1065.67	1001	1001	1001	1001	1001	1065.67
1189.26	297.434	986	1051.1	986	986	986	986	986	1051.1
1189.36	297.334	982	1047.53	982	982	982	982	982	1047.53
1189.46	297.234	998	1063.96	998	998	998	998	998	1063.96
1189.56	297.134	1018	1084.39	1018	1018	1018	1018	1018	1084.39
1189.66	297.034	1069	1135.81	1069	1069	1069	1069	1069	1135.81
1189.76	296.934	1001	1068.26	1001	1001	1001	1001	1001	1068.26
1189.86	296.834	1003	1070.76	1003	1003	1003	1003	1003	1070.76
1189.96	296.734	1076	1144.26	1076	1076	1076	1076	1076	1144.26
1190.06	296.634	1017	1085.76	1017	1017	1017	1017	1017	1085.76
1190.16	296.534	990	1059.26	990	990	990	990	990	1059.26
1190.26	296.434	1048	1117.76	1048	1048	1048	1048	1048	1117.76
1190.36	296.334	1039	1109.26	1039	1039	1039	1039	1039	1109.26
1190.46	296.234	1099	1169.76	1099	1099	1099	1099	1099	1169.76
1190.56	296.134	1022	1093.34	1022	1022	1022	1022	1022	1093.34
1190.66	296.034	1052	1123.93	1052	1052	1052	1052	1052	1123.93
1190.76	295.934	1043	1115.52	1043	1043	1043	1043	1043	1115.52
1190.86	295.834	1022	1095.11	1022	1022	1022	1022	1022	1095.11
1190.96	295.734	1038	1111.7	1038	1038	1038	1038	1038	1111.7
1191.06	295.634	1048	1122.29	1048	1048	1048	1048	1048	1122.29
1191.16	295.534	1083	1157.88	1083	1083	1083	1083	1083	1157.88
1191.26	295.434	1021	1096.53	1021	1021	1021	1021	1021	1096.53
1191.36	295.334	1080	1156.23	1080	1080	1080	1080	1080	1156.24
1191.46	295.234	1081	1157.94	1081	1081	1081	1081	1081	1157.94
1191.56	295.134	1080	1157.64	1080	1080	1080	1080	1080	1157.65
1191.66	295.034	1082	1160.35	1082	1082	1082	1082	1082	1160.35
1191.76	294.934	1091	1170.05	1091	1091	1091.01	1091	1091	1170.06
1191.86	294.834	1116	1195.76	1116	1116	1116.01	1116	1116	1195.77
1191.96	294.734	1162	1242.5	1162	1162	1162.02	1162	1162	1242.52
1192.06	294.634	1141	1222.35	1141	1141	1141.03	1141	1141	1222.38
1192.16	294.534	1135	1217.21	1135	1135	1135.04	1135	1135	1217.25
1192.26	294.434	1137	1220.06	1137	1137	1137.07	1137	1137	1220.13
1192.36	294.334	1191	1274.92	1191	1191	1191.1	1191	1191	1275.02
1192.46	294.234	1113	1197.77	1113	1113	1113.16	1113	1113	1197.93
1192.56	294.134	1131	1216.63	1131	1131	1131.24	1131	1131	1216.86
1192.66	294.034	1166	1252.48	1166	1166	1166.35	1166	1166	1252.83
1192.76	293.934	1205	1263.81	1176.29	1176.29	1176.81	1176.29	1176.29	1264.33
1192.86	293.834	1158	1264.84	1176.27	1176.27	1177.02	1176.27	1176.27	1265.59
1192.96	293.734	1205	1265.85	1176.23	1176.23	1177.31	1176.23	1176.23	1266.94
1193.06	293.634	1219	1266.85	1176.17	1176.17	1177.72	1176.17	1176.17	1268.4
1193.16	293.534	1177	1267.9	1176.16	1176.17	1178.36	1176.16	1176.16	1270.1
1193.26	293.434	1231	1268.88	1176.09	1176.09	1179.16	1176.09	1176.09	1271.95
1193.36	293.334	1264	1269.81	1175.96	1175.97	1180.21	1175.96	1175.96	1274.06
1193.46	293.234	1231	1270.94	1175.88	1175.89	1181.69	1175.88	1175.88	1276.75
1193.56	293.134	1217	1272.21	1175.83	1175.84	1183.68	1175.83	1175.83	1280.08
