C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
N 1s/19
	Characteristic Energy eV	1486.69	Acquisition Time s	1.194
KE_N 1s/19	BE_N 1s/19	CPS_N 1s/19	Background_N 1s/19
1076.36	410.334	1787.27	1787.27
1076.46	410.234	1701.01	1701.01
1076.56	410.134	1681.74	1681.74
1076.66	410.034	1716.08	1716.08
1076.76	409.934	1722.78	1722.78
1076.86	409.834	1718.59	1718.59
1076.96	409.734	1731.99	1731.99
1077.06	409.634	1716.92	1716.92
1077.16	409.534	1740.37	1740.37
1077.26	409.434	1720.27	1720.27
1077.36	409.334	1739.53	1739.53
1077.46	409.234	1747.07	1747.07
1077.56	409.134	1736.18	1736.18
1077.66	409.034	1699.33	1699.33
1077.76	408.934	1715.24	1715.24
1077.86	408.834	1716.92	1716.92
1077.96	408.734	1690.95	1690.95
1078.06	408.634	1716.08	1716.08
1078.16	408.534	1709.38	1709.38
1078.26	408.434	1712.73	1712.73
1078.36	408.334	1749.58	1749.58
1078.46	408.234	1699.33	1699.33
1078.56	408.134	1742.88	1742.88
1078.66	408.034	1750.42	1750.42
1078.76	407.934	1749.58	1749.58
1078.86	407.834	1735.34	1735.34
1078.96	407.734	1742.88	1742.88
1079.06	407.634	1791.46	1791.46
1079.16	407.534	1776.38	1776.38
1079.26	407.434	1673.37	1673.37
1079.36	407.334	1704.36	1704.36
1079.46	407.234	1721.11	1721.11
1079.56	407.134	1819.93	1819.93
1079.66	407.034	1819.93	1819.93
1079.76	406.934	1743.72	1743.72
1079.86	406.834	1735.34	1735.34
1079.96	406.734	1717.76	1717.76
1080.06	406.634	1665.83	1665.83
1080.16	406.534	1735.34	1735.34
1080.26	406.434	1758.79	1758.79
1080.36	406.334	1807.37	1807.37
1080.46	406.234	1744.56	1744.56
1080.56	406.134	1712.73	1712.73
1080.66	406.034	1713.57	1713.57
1080.76	405.934	1701.01	1701.01
1080.86	405.834	1786.43	1786.43
1080.96	405.734	1788.11	1788.11
1081.06	405.634	1735.34	1735.34
1081.16	405.534	1732.83	1732.83
1081.26	405.434	1737.86	1737.86
1081.36	405.334	1750.42	1750.42
1081.46	405.234	1737.86	1737.86
1081.56	405.134	1778.89	1778.89
1081.66	405.034	1736.18	1736.18
1081.76	404.934	1758.79	1758.79
1081.86	404.834	1786.43	1786.43
1081.96	404.734	1767.17	1767.17
1082.06	404.634	1741.21	1741.21
1082.16	404.534	1729.48	1729.48
1082.26	404.434	1752.09	1752.09
1082.36	404.334	1747.91	1747.91
1082.46	404.234	1722.78	1722.78
1082.56	404.134	1716.08	1716.08
1082.66	404.034	1772.19	1772.19
1082.76	403.934	1743.72	1743.72
1082.86	403.834	1703.52	1703.52
1082.96	403.734	1750.42	1750.42
1083.06	403.634	1747.91	1747.91
1083.16	403.534	1769.68	1769.68
1083.26	403.434	1732.83	1732.83
1083.36	403.334	1754.61	1754.61
1083.46	403.234	1726.97	1726.97
1083.56	403.134	1712.73	1712.73
1083.66	403.034	1756.28	1756.28
1083.76	402.934	1762.14	1762.14
