C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
C 1s/3
	Characteristic Energy eV	1486.69	Acquisition Time s	1
KE_C 1s/3	BE_C 1s/3	CPS_C 1s/3	C=C (sp2)_1_C 1s/3	C-O/C-N_2_C 1s/3	C=O_3_C 1s/3	p-p* (SUS)_4_C 1s/3	C-C (sp3)_5_C 1s/3	Background_C 1s/3	Envelope_C 1s/3
1183.08	303.612	1857	1922.88	1857	1857	1857	1857	1857	1922.88
1183.18	303.512	1821	1887.07	1821	1821	1821	1821	1821	1887.07
1183.28	303.412	1755	1821.26	1755	1755	1755	1755	1755	1821.26
1183.38	303.312	1774	1840.45	1774	1774	1774	1774	1774	1840.45
1183.48	303.212	1832	1898.65	1832	1832	1832	1832	1832	1898.65
1183.58	303.112	1738	1804.86	1738	1738	1738	1738	1738	1804.86
1183.68	303.012	1706	1773.06	1706	1706	1706	1706	1706	1773.06
1183.78	302.912	1719	1786.27	1719	1719	1719	1719	1719	1786.27
1183.88	302.812	1696	1763.47	1696	1696	1696	1696	1696	1763.47
1183.98	302.712	1732	1799.67	1732	1732	1732	1732	1732	1799.67
1184.08	302.612	1674	1741.89	1674	1674	1674	1674	1674	1741.89
1184.18	302.512	1676	1744.11	1676	1676	1676	1676	1676	1744.11
1184.28	302.412	1666	1734.33	1666	1666	1666	1666	1666	1734.33
1184.38	302.312	1611	1679.56	1611	1611	1611	1611	1611	1679.56
1184.48	302.212	1612	1680.78	1612	1612	1612	1612	1612	1680.78
1184.58	302.112	1600	1669	1600	1600	1600	1600	1600	1669
1184.68	302.012	1625	1694.23	1625	1625	1625	1625	1625	1694.23
1184.78	301.912	1556	1625.47	1556	1556	1556	1556	1556	1625.47
1184.88	301.812	1585	1654.71	1585	1585	1585	1585	1585	1654.71
1184.98	301.712	1510	1579.96	1510	1510	1510	1510	1510	1579.96
1185.08	301.612	1474	1544.2	1474	1474	1474	1474	1474	1544.2
1185.18	301.512	1504	1574.44	1504	1504	1504	1504	1504	1574.44
1185.28	301.412	1541	1611.69	1541	1541	1541	1541	1541	1611.69
1185.38	301.312	1483	1553.94	1483	1483	1483	1483	1483	1553.94
1185.48	301.212	1533	1604.21	1533	1533	1533	1533	1533	1604.21
1185.58	301.112	1538	1609.48	1538	1538	1538	1538	1538	1609.48
1185.68	301.012	1498	1569.75	1498	1498	1498	1498	1498	1569.75
1185.78	300.912	1482	1554.01	1482	1482	1482	1482	1482	1554.01
1185.88	300.812	1427	1499.28	1427	1427	1427	1427	1427	1499.28
1185.98	300.712	1501	1573.55	1501	1501	1501	1501	1501	1573.55
1186.08	300.612	1355	1427.84	1355	1355	1355	1355	1355	1427.84
1186.18	300.512	1416	1489.14	1416	1416	1416	1416	1416	1489.14
1186.28	300.412	1423	1496.44	1423	1423	1423	1423	1423	1496.44
1186.38	300.312	1465	1538.73	1465	1465	1465	1465	1465	1538.73
1186.48	300.212	1399	1473.03	1399	1399	1399	1399	1399	1473.03
1186.58	300.112	1394	1468.33	1394	1394	1394	1394	1394	1468.33
1186.68	300.012	1458	1532.63	1458	1458	1458	1458	1458	1532.63
1186.78	299.912	1405	1479.96	1405	1405	1405	1405	1405	1479.96
1186.88	299.812	1374	1449.29	1374	1374	1374	1374	1374	1449.29
1186.98	299.712	1381	1456.62	1381	1381	1381	1381	1381	1456.62
1187.08	299.612	1330	1405.95	1330	1330	1330	1330	1330	1405.95
1187.18	299.512	1352	1428.28	1352	1352	1352	1352	1352	1428.28
1187.28	299.412	1384	1460.6	1384	1384	1384	1384	1384	1460.6
1187.38	299.312	1334	1410.96	1334	1334	1334	1334	1334	1410.96
1187.48	299.212	1292	1369.33	1292	1292	1292	1292	1292	1369.33
1187.58	299.112	1374	1451.7	1374	1374	1374	1374	1374	1451.7
1187.68	299.012	1339	1417.06	1339	1339	1339	1339	1339	1417.06
1187.78	298.912	1317	1395.43	1317	1317	1317	1317	1317	1395.43
1187.88	298.812	1338	1416.8	1338	1338	1338	1338	1338	1416.8
1187.98	298.712	1373	1452.18	1373	1373	1373	1373	1373	1452.18
1188.08	298.612	1372	1451.59	1372	1372	1372	1372	1372	1451.59
1188.18	298.512	1296	1376	1296	1296	1296	1296	1296	1376
1188.28	298.412	1356	1436.41	1356	1356	1356	1356	1356	1436.41
1188.38	298.312	1336	1416.82	1336	1336	1336	1336	1336	1416.82
1188.48	298.212	1300	1381.23	1300	1300	1300	1300	1300	1381.23
1188.58	298.112	1325	1406.64	1325	1325	1325	1325	1325	1406.64
1188.68	298.012	1316	1398.09	1316	1316	1316	1316	1316	1398.09
1188.78	297.912	1276	1358.56	1276	1276	1276	1276	1276	1358.56
1188.88	297.812	1243	1326.02	1243	1243	1243	1243	1243	1326.02
1188.98	297.712	1254	1337.48	1254	1254	1254	1254	1254	1337.48
1189.08	297.612	1310	1393.95	1310	1310	1310	1310	1310	1393.95
1189.18	297.512	1261	1345.41	1261	1261	1261	1261	1261	1345.41
1189.28	297.412	1244	1328.9	1244	1244	1244	1244	1244	1328.9
1189.38	297.312	1315	1400.42	1315	1315	1315	1315	1315	1400.42
1189.48	297.212	1315	1400.95	1315	1315	1315	1315	1315	1400.95
1189.58	297.112	1261	1347.47	1261	1261	1261	1261	1261	1347.47
1189.68	297.012	1283	1370	1283	1283	1283	1283	1283	1370
1189.78	296.912	1260	1347.53	1260	1260	1260	1260	1260	1347.53
1189.88	296.812	1239	1327.05	1239	1239	1239	1239	1239	1327.05
1189.98	296.712	1291	1379.64	1291	1291	1291	1291	1291	1379.64
1190.08	296.612	1283	1372.24	1283	1283	1283	1283	1283	1372.24
1190.18	296.512	1274	1363.85	1274	1274	1274	1274	1274	1363.85
1190.28	296.412	1239	1329.45	1239	1239	1239	1239	1239	1329.45
1190.38	296.312	1254	1345.05	1254	1254	1254	1254	1254	1345.05
1190.48	296.212	1240	1331.65	1240	1240	1240	1240	1240	1331.65
1190.58	296.112	1253	1345.29	1253	1253	1253	1253	1253	1345.29
1190.68	296.012	1282	1374.98	1282	1282	1282	1282	1282	1374.99
1190.78	295.912	1366	1459.68	1366	1366	1366	1366	1366	1459.68
1190.88	295.812	1354	1448.38	1354	1354	1354	1354	1354	1448.38
1190.98	295.712	1359	1454.07	1359	1359	1359	1359	1359	1454.07
1191.08	295.612	1345	1440.77	1345	1345	1345	1345	1345	1440.77
1191.18	295.512	1348	1444.46	1348	1348	1348	1348	1348	1444.47
1191.28	295.412	1355	1452.26	1355	1355	1355.01	1355	1355	1452.26
1191.38	295.312	1371	1469.07	1371	1371	1371.01	1371	1371	1469.08
1191.48	295.212	1403	1501.88	1403	1403	1403.01	1403	1403	1501.9
1191.58	295.112	1401	1500.69	1401	1401	1401.02	1401	1401	1500.71
1191.68	295.012	1451	1551.5	1451	1451	1451.03	1451	1451	1551.54
1191.78	294.912	1383	1484.31	1383	1383	1383.05	1383	1383	1484.36
1191.88	294.812	1423	1525.18	1423	1423	1423.07	1423	1423	1525.25
1191.98	294.712	1445	1548.14	1445	1445	1445.11	1445	1445	1548.25
1192.08	294.612	1490	1594.09	1490	1490	1490.16	1490	1490	1594.25
1192.18	294.512	1431	1536.05	1431	1431	1431.23	1431	1431	1536.28
1192.28	294.412	1436	1542.01	1436	1436	1436.33	1436	1436	1542.34
1192.38	294.312	1425	1531.97	1425	1425	1425.48	1425	1425	1532.44
1192.48	294.212	1470	1577.92	1470	1470	1470.68	1470	1470	1578.6
1192.58	294.112	1451	1560.04	1451	1451	1451.95	1451	1451	1560.99
1192.68	294.012	1451	1554.51	1444.32	1444.32	1445.64	1444.32	1444.32	1555.83
1192.78	293.912	1431	1555.63	1444.3	1444.3	1446.13	1444.3	1444.3	1557.46
1192.88	293.812	1433	1556.76	1444.29	1444.29	1446.79	1444.29	1444.29	1559.26
1192.98	293.712	1537	1557.76	1444.14	1444.14	1447.54	1444.14	1444.14	1561.16
