C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
N 1s/4
	Characteristic Energy eV	1486.69	Acquisition Time s	1.194
KE_N 1s/4	BE_N 1s/4	CPS_N 1s/4	Background_N 1s/4
1073.08	413.612	2252.09	2252.09
1073.18	413.512	2163.32	2163.32
1073.28	413.412	2221.94	2221.94
1073.38	413.312	2155.78	2155.78
1073.48	413.212	2164.15	2164.15
1073.58	413.112	2199.33	2199.33
1073.68	413.012	2175.88	2175.88
1073.78	412.912	2211.89	2211.89
1073.88	412.812	2175.88	2175.88
1073.98	412.712	2180.07	2180.07
1074.08	412.612	2247.07	2247.07
1074.18	412.512	2178.39	2178.39
1074.28	412.412	2202.68	2202.68
1074.38	412.312	2228.64	2228.64
1074.48	412.212	2175.88	2175.88
1074.58	412.112	2180.07	2180.07
1074.68	412.012	2211.89	2211.89
1074.78	411.912	2243.72	2243.72
1074.88	411.812	2180.07	2180.07
1074.98	411.712	2248.74	2248.74
1075.08	411.612	2225.29	2225.29
1075.18	411.512	2163.32	2163.32
1075.28	411.412	2172.53	2172.53
1075.38	411.312	2236.18	2236.18
1075.48	411.212	2329.15	2329.15
1075.58	411.112	2168.34	2168.34
1075.68	411.012	2209.38	2209.38
1075.78	410.912	2253.77	2253.77
1075.88	410.812	2212.73	2212.73
1075.98	410.712	2210.22	2210.22
1076.08	410.612	2157.45	2157.45
1076.18	410.512	2165.83	2165.83
1076.28	410.412	2182.58	2182.58
1076.38	410.312	2249.58	2249.58
1076.48	410.212	2188.44	2188.44
1076.58	410.112	2176.72	2176.72
1076.68	410.012	2198.49	2198.49
1076.78	409.912	2195.14	2195.14
1076.88	409.812	2214.41	2214.41
1076.98	409.712	2226.13	2226.13
1077.08	409.612	2239.53	2239.53
1077.18	409.512	2213.57	2213.57
1077.28	409.412	2206.03	2206.03
1077.38	409.312	2223.62	2223.62
1077.48	409.212	2234.51	2234.51
1077.58	409.112	2164.15	2164.15
1077.68	409.012	2199.33	2199.33
1077.78	408.912	2228.64	2228.64
1077.88	408.812	2206.87	2206.87
1077.98	408.712	2154.1	2154.1
1078.08	408.612	2199.33	2199.33
1078.18	408.512	2185.09	2185.09
1078.28	408.412	2167.5	2167.5
1078.38	408.312	2221.11	2221.11
1078.48	408.212	2212.73	2212.73
1078.58	408.112	2227.81	2227.81
1078.68	408.012	2206.87	2206.87
1078.78	407.912	2183.42	2183.42
1078.88	407.812	2213.57	2213.57
1078.98	407.712	2189.28	2189.28
1079.08	407.612	2154.1	2154.1
1079.18	407.512	2236.18	2236.18
1079.28	407.412	2186.77	2186.77
1079.38	407.312	2180.07	2180.07
1079.48	407.212	2195.98	2195.98
1079.58	407.112	2213.57	2213.57
1079.68	407.012	2226.13	2226.13
1079.78	406.912	2190.95	2190.95
1079.88	406.812	2278.06	2278.06
1079.98	406.712	2173.37	2173.37
1080.08	406.612	2224.46	2224.46
1080.18	406.512	2185.09	2185.09
1080.28	406.412	2149.08	2149.08
1080.38	406.312	2226.97	2226.97
1080.48	406.212	2276.38	2276.38
1080.58	406.112	2246.23	2246.23
1080.68	406.012	2245.39	2245.39
1080.78	405.912	2230.32	2230.32
1080.88	405.812	2179.23	2179.23
1080.98	405.712	2134	2134
1081.08	405.612	2221.94	2221.94
1081.18	405.512	2201.01	2201.01
1081.28	405.412	2170.85	2170.85
1081.38	405.312	2167.5	2167.5
1081.48	405.212	2231.99	2231.99
1081.58	405.112	2216.08	2216.08
1081.68	405.012	2213.57	2213.57
1081.78	404.912	2168.34	2168.34
1081.88	404.812	2126.47	2126.47
1081.98	404.712	2183.42	2183.42
1082.08	404.612	2175.04	2175.04
1082.18	404.512	2231.16	2231.16
1082.28	404.412	2224.46	2224.46
1082.38	404.312	2231.16	2231.16
1082.48	404.212	2235.34	2235.34
1082.58	404.112	2192.63	2192.63
1082.68	404.012	2194.3	2194.3
1082.78	403.912	2197.65	2197.65
1082.88	403.812	2192.63	2192.63
1082.98	403.712	2185.09	2185.09
1083.08	403.612	2170.85	2170.85
1083.18	403.512	2186.77	2186.77
1083.28	403.412	2245.39	2245.39
1083.38	403.312	2221.94	2221.94
1083.48	403.212	2224.46	2224.46
1083.58	403.112	2226.97	2226.97
1083.68	403.012	2238.69	2238.69
1083.78	402.912	2233.67	2233.67
1083.88	402.812	2270.52	2270.52
1083.98	402.712	2287.27	2287.27
1084.08	402.612	2242.04	2242.04
1084.18	402.512	2226.13	2226.13
1084.28	402.412	2233.67	2233.67
1084.38	402.312	2266.33	2266.33
1084.48	402.212	2180.9	2180.9
1084.58	402.112	2273.87	2273.87
1084.68	402.012	2302.35	2302.35
1084.78	401.912	2314.07	2314.07
1084.88	401.812	2308.21	2308.21
1084.98	401.712	2324.12	2324.12
1085.08	401.612	2263.82	2263.82
1085.18	401.512	2277.22	2277.22
1085.28	401.412	2340.87	2340.87
1085.38	401.312	2345.9	2345.9
1085.48	401.212	2353.43	2353.43
1085.58	401.112	2335.85	2335.85
1085.68	401.012	2352.6	2352.6
1085.78	400.912	2369.35	2369.35
1085.88	400.812	2351.76	2351.76
1085.98	400.712	2350.92	2350.92
1086.08	400.612	2319.1	2319.1
1086.18	400.512	2422.95	2422.95
1086.28	400.412	2525.96	2525.96
1086.38	400.312	2492.46	2492.46
1086.48	400.212	2478.22	2478.22
1086.58	400.112	2501.68	2501.68
1086.68	400.012	2517.59	2517.59
1086.78	399.912	2595.48	2595.48
1086.88	399.812	2560.3	2560.3
1086.98	399.712	2605.53	2605.53
1087.08	399.612	2646.57	2646.57
1087.18	399.512	2581.24	2581.24
1087.28	399.412	2576.21	2576.21
1087.38	399.312	2431.32	2431.32
1087.48	399.212	2458.96	2458.96
1087.58	399.112	2501.68	2501.68
1087.68	399.012	2424.62	2424.62
1087.78	398.912	2338.36	2338.36
1087.88	398.812	2356.78	2356.78
1087.98	398.712	2314.91	2314.91
1088.08	398.612	2263.82	2263.82
1088.18	398.512	2281.41	2281.41
1088.28	398.412	2242.04	2242.04
1088.38	398.312	2259.63	2259.63
1088.48	398.212	2265.49	2265.49
1088.58	398.112	2245.39	2245.39
1088.68	398.012	2239.53	2239.53
1088.78	397.912	2203.52	2203.52
1088.88	397.812	2225.29	2225.29
1088.98	397.712	2200.17	2200.17
1089.08	397.612	2196.82	2196.82
1089.18	397.512	2237.02	2237.02
1089.28	397.412	2208.54	2208.54
1089.38	397.312	2190.12	2190.12
1089.48	397.212	2254.61	2254.61
1089.58	397.112	2231.99	2231.99
1089.68	397.012	2294.81	2294.81
1089.78	396.912	2172.53	2172.53
1089.88	396.812	2175.04	2175.04
1089.98	396.712	2218.59	2218.59
1090.08	396.612	2199.33	2199.33
1090.18	396.512	2194.3	2194.3
