Created as New Dataset;Sample 1001 By Administrator Date fredag, september 22 2017
cm-1;%T
4000,00;85,57
3999,00;85,56
3998,00;85,55
3997,00;85,55
3996,00;85,54
3995,00;85,54
3994,00;85,53
3993,00;85,51
3992,00;85,51
3991,00;85,52
3990,00;85,53
3989,00;85,53
3988,00;85,54
3987,00;85,54
3986,00;85,54
3985,00;85,54
3984,00;85,53
3983,00;85,52
3982,00;85,52
3981,00;85,52
3980,00;85,51
3979,00;85,51
3978,00;85,50
3977,00;85,49
3976,00;85,49
3975,00;85,48
3974,00;85,47
3973,00;85,47
3972,00;85,46
3971,00;85,46
3970,00;85,47
3969,00;85,48
3968,00;85,49
3967,00;85,50
3966,00;85,49
3965,00;85,48
3964,00;85,46
3963,00;85,45
3962,00;85,45
3961,00;85,45
3960,00;85,45
3959,00;85,45
3958,00;85,45
3957,00;85,46
3956,00;85,46
3955,00;85,44
3954,00;85,41
3953,00;85,37
3952,00;85,32
3951,00;85,26
3950,00;85,24
3949,00;85,24
3948,00;85,27
3947,00;85,28
3946,00;85,27
3945,00;85,26
3944,00;85,27
3943,00;85,30
3942,00;85,34
3941,00;85,35
3940,00;85,37
3939,00;85,40
3938,00;85,44
3937,00;85,44
3936,00;85,37
3935,00;85,27
3934,00;85,18
3933,00;85,15
3932,00;85,16
3931,00;85,20
3930,00;85,23
3929,00;85,24
3928,00;85,22
3927,00;85,18
3926,00;85,16
3925,00;85,17
3924,00;85,17
3923,00;85,13
3922,00;85,08
3921,00;85,06
3920,00;85,05
3919,00;85,05
3918,00;85,09
3917,00;85,18
3916,00;85,29
3915,00;85,37
3914,00;85,42
3913,00;85,47
3912,00;85,50
3911,00;85,50
3910,00;85,43
3909,00;85,30
3908,00;85,10
3907,00;84,86
3906,00;84,62
3905,00;84,43
3904,00;84,32
3903,00;84,27
3902,00;84,29
3901,00;84,43
3900,00;84,69
3899,00;84,97
3898,00;85,16
3897,00;85,23
3896,00;85,22
3895,00;85,16
3894,00;85,03
3893,00;84,91
3892,00;84,88
3891,00;84,92
3890,00;84,91
3889,00;84,79
3888,00;84,69
3887,00;84,72
3886,00;84,83
3885,00;84,89
3884,00;84,80
3883,00;84,65
3882,00;84,63
3881,00;84,78
3880,00;84,96
3879,00;85,03
3878,00;84,97
3877,00;84,91
3876,00;84,90
3875,00;84,89
3874,00;84,75
3873,00;84,48
3872,00;84,21
3871,00;84,14
3870,00;84,30
3869,00;84,46
3868,00;84,44
3867,00;84,38
3866,00;84,45
3865,00;84,61
3864,00;84,70
3863,00;84,72
3862,00;84,76
3861,00;84,85
3860,00;84,94
3859,00;84,90
3858,00;84,68
3857,00;84,25
3856,00;83,69
3855,00;83,21
3854,00;83,12
3853,00;83,50
3852,00;83,90
3851,00;84,10
3850,00;84,40
3849,00;84,85
3848,00;85,16
3847,00;85,22
3846,00;85,11
3845,00;84,93
3844,00;84,75
3843,00;84,54
3842,00;84,29
3841,00;84,03
3840,00;83,85
3839,00;83,80
3838,00;83,86
3837,00;83,97
3836,00;84,07
3835,00;84,19
3834,00;84,36
3833,00;84,58
3832,00;84,78
3831,00;84,89
3830,00;84,90
3829,00;84,88
3828,00;84,88
3827,00;84,91
3826,00;84,85
3825,00;84,62
3824,00;84,29
3823,00;84,03
3822,00;83,97
3821,00;84,08
3820,00;84,11
3819,00;83,96
3818,00;83,91
3817,00;84,15
3816,00;84,50
3815,00;84,75
3814,00;84,82
3813,00;84,89
3812,00;85,05
3811,00;85,13
3810,00;85,01
3809,00;84,77
3808,00;84,61
3807,00;84,60
3806,00;84,55
3805,00;84,32
3804,00;84,08
3803,00;84,01
3802,00;84,13
3801,00;84,28
3800,00;84,28
3799,00;84,21
3798,00;84,33
3797,00;84,64
3796,00;84,92
3795,00;85,06
3794,00;85,11
3793,00;85,18
3792,00;85,28
3791,00;85,35
3790,00;85,34
3789,00;85,28
3788,00;85,21
3787,00;85,13
3786,00;85,09
3785,00;85,07
3784,00;85,03
3783,00;84,94
3782,00;84,84
3781,00;84,81
3780,00;84,85
3779,00;84,94
3778,00;85,00
3777,00;85,05
3776,00;85,12
3775,00;85,20
3774,00;85,19
3773,00;85,06
3772,00;84,88
3771,00;84,76
3770,00;84,73
3769,00;84,71
3768,00;84,67
3767,00;84,70
3766,00;84,83
3765,00;84,98
3764,00;85,01
3763,00;84,92
3762,00;84,80
3761,00;84,72
3760,00;84,66
3759,00;84,61
3758,00;84,56
3757,00;84,51
3756,00;84,40
3755,00;84,20
3754,00;83,91
3753,00;83,58
3752,00;83,32
3751,00;83,25
3750,00;83,37
3749,00;83,46
3748,00;83,41
3747,00;83,33
3746,00;83,37
3745,00;83,64
3744,00;84,05
3743,00;84,28
3742,00;84,28
3741,00;84,35
3740,00;84,46
3739,00;84,35
3738,00;84,01
3737,00;83,67
3736,00;83,52
3735,00;83,54
3734,00;83,68
3733,00;83,92
3732,00;84,24
3731,00;84,53
3730,00;84,67
