Created as New Dataset;Sample 1001 By Administrator Date fredag, september 22 2017
cm-1;%T
4000,00;85,57
3999,00;85,56
3998,00;85,56
3997,00;85,56
3996,00;85,55
3995,00;85,55
3994,00;85,55
3993,00;85,54
3992,00;85,54
3991,00;85,55
3990,00;85,56
3989,00;85,57
3988,00;85,58
3987,00;85,58
3986,00;85,59
3985,00;85,59
3984,00;85,58
3983,00;85,58
3982,00;85,58
3981,00;85,58
3980,00;85,58
3979,00;85,58
3978,00;85,57
3977,00;85,57
3976,00;85,57
3975,00;85,56
3974,00;85,56
3973,00;85,56
3972,00;85,55
3971,00;85,56
3970,00;85,57
3969,00;85,58
3968,00;85,60
3967,00;85,61
3966,00;85,61
3965,00;85,59
3964,00;85,58
3963,00;85,57
3962,00;85,57
3961,00;85,58
3960,00;85,58
3959,00;85,59
3958,00;85,59
3957,00;85,60
3956,00;85,60
3955,00;85,59
3954,00;85,57
3953,00;85,53
3952,00;85,48
3951,00;85,43
3950,00;85,41
3949,00;85,41
3948,00;85,44
3947,00;85,46
3946,00;85,46
3945,00;85,45
3944,00;85,46
3943,00;85,49
3942,00;85,53
3941,00;85,55
3940,00;85,57
3939,00;85,61
3938,00;85,65
3937,00;85,65
3936,00;85,59
3935,00;85,49
3934,00;85,41
3933,00;85,38
3932,00;85,39
3931,00;85,43
3930,00;85,47
3929,00;85,48
3928,00;85,46
3927,00;85,43
3926,00;85,42
3925,00;85,43
3924,00;85,43
3923,00;85,39
3922,00;85,35
3921,00;85,33
3920,00;85,33
3919,00;85,33
3918,00;85,37
3917,00;85,46
3916,00;85,57
3915,00;85,66
3914,00;85,71
3913,00;85,76
3912,00;85,80
3911,00;85,79
3910,00;85,73
3909,00;85,61
3908,00;85,42
3907,00;85,19
3906,00;84,96
3905,00;84,77
3904,00;84,66
3903,00;84,62
3902,00;84,65
3901,00;84,79
3900,00;85,04
3899,00;85,32
3898,00;85,51
3897,00;85,58
3896,00;85,58
3895,00;85,52
3894,00;85,40
3893,00;85,28
3892,00;85,26
3891,00;85,30
3890,00;85,29
3889,00;85,18
3888,00;85,09
3887,00;85,12
3886,00;85,23
3885,00;85,29
3884,00;85,20
3883,00;85,06
3882,00;85,05
3881,00;85,20
3880,00;85,38
3879,00;85,45
3878,00;85,39
3877,00;85,34
3876,00;85,34
3875,00;85,32
3874,00;85,20
3873,00;84,94
3872,00;84,67
3871,00;84,61
3870,00;84,77
3869,00;84,93
3868,00;84,91
3867,00;84,85
3866,00;84,93
3865,00;85,08
3864,00;85,18
3863,00;85,21
3862,00;85,25
3861,00;85,34
3860,00;85,42
3859,00;85,39
3858,00;85,18
3857,00;84,77
3856,00;84,23
3855,00;83,76
3854,00;83,68
3853,00;84,05
3852,00;84,45
3851,00;84,64
3850,00;84,94
3849,00;85,37
3848,00;85,68
3847,00;85,74
3846,00;85,64
3845,00;85,47
3844,00;85,30
3843,00;85,10
3842,00;84,86
3841,00;84,62
3840,00;84,45
3839,00;84,40
3838,00;84,46
3837,00;84,57
3836,00;84,67
3835,00;84,79
3834,00;84,96
3833,00;85,17
3832,00;85,37
3831,00;85,48
3830,00;85,50
3829,00;85,48
3828,00;85,48
3827,00;85,51
3826,00;85,46
3825,00;85,24
3824,00;84,93
3823,00;84,68
3822,00;84,63
3821,00;84,73
3820,00;84,76
3819,00;84,62
3818,00;84,58
3817,00;84,81
3816,00;85,16
3815,00;85,40
3814,00;85,47
3813,00;85,54
3812,00;85,70
3811,00;85,78
3810,00;85,66
3809,00;85,44
3808,00;85,29
3807,00;85,28
3806,00;85,24
3805,00;85,03
3804,00;84,80
3803,00;84,73
3802,00;84,85
3801,00;85,00
3800,00;85,01
3799,00;84,94
3798,00;85,06
3797,00;85,36
3796,00;85,63
3795,00;85,77
3794,00;85,82
3793,00;85,89
3792,00;85,99
3791,00;86,06
3790,00;86,05
3789,00;86,00
3788,00;85,93
3787,00;85,87
3786,00;85,83
3785,00;85,81
3784,00;85,78
3783,00;85,70
3782,00;85,61
3781,00;85,57
3780,00;85,62
3779,00;85,71
3778,00;85,77
3777,00;85,82
3776,00;85,89
3775,00;85,97
3774,00;85,97
3773,00;85,84
3772,00;85,67
3771,00;85,57
3770,00;85,54
3769,00;85,53
3768,00;85,50
3767,00;85,52
3766,00;85,65
3765,00;85,80
3764,00;85,83
3763,00;85,74
3762,00;85,63
3761,00;85,56
3760,00;85,51
3759,00;85,46
3758,00;85,42
3757,00;85,38
3756,00;85,27
3755,00;85,09
3754,00;84,82
3753,00;84,51
3752,00;84,26
3751,00;84,20
3750,00;84,32
3749,00;84,41
3748,00;84,37
3747,00;84,30
3746,00;84,34
3745,00;84,60
3744,00;84,99
3743,00;85,21
3742,00;85,22
3741,00;85,29
3740,00;85,39
3739,00;85,29
3738,00;84,97
3737,00;84,66
3736,00;84,51
3735,00;84,54
3734,00;84,67
3733,00;84,90
3732,00;85,22
3731,00;85,49
3730,00;85,62
