Created as New Dataset;Sample 1471 By Administrator Date tirsdag, november 28 2017
cm-1;%T
4000,00;98,89
3999,00;98,88
3998,00;98,88
3997,00;98,87
3996,00;98,87
3995,00;98,87
3994,00;98,87
3993,00;98,86
3992,00;98,86
3991,00;98,87
3990,00;98,87
3989,00;98,87
3988,00;98,87
3987,00;98,87
3986,00;98,87
3985,00;98,87
3984,00;98,87
3983,00;98,86
3982,00;98,86
3981,00;98,86
3980,00;98,86
3979,00;98,85
3978,00;98,85
3977,00;98,85
3976,00;98,84
3975,00;98,84
3974,00;98,84
3973,00;98,84
3972,00;98,84
3971,00;98,84
3970,00;98,84
3969,00;98,84
3968,00;98,84
3967,00;98,84
3966,00;98,83
3965,00;98,82
3964,00;98,81
3963,00;98,81
3962,00;98,81
3961,00;98,81
3960,00;98,81
3959,00;98,81
3958,00;98,82
3957,00;98,82
3956,00;98,82
3955,00;98,82
3954,00;98,81
3953,00;98,79
3952,00;98,77
3951,00;98,75
3950,00;98,74
3949,00;98,74
3948,00;98,75
3947,00;98,75
3946,00;98,74
3945,00;98,73
3944,00;98,73
3943,00;98,75
3942,00;98,76
3941,00;98,76
3940,00;98,76
3939,00;98,77
3938,00;98,79
3937,00;98,79
3936,00;98,77
3935,00;98,72
3934,00;98,68
3933,00;98,66
3932,00;98,66
3931,00;98,68
3930,00;98,69
3929,00;98,70
3928,00;98,69
3927,00;98,69
3926,00;98,69
3925,00;98,70
3924,00;98,70
3923,00;98,68
3922,00;98,65
3921,00;98,63
3920,00;98,62
3919,00;98,61
3918,00;98,62
3917,00;98,65
3916,00;98,70
3915,00;98,74
3914,00;98,77
3913,00;98,81
3912,00;98,84
3911,00;98,85
3910,00;98,83
3909,00;98,76
3908,00;98,67
3907,00;98,55
3906,00;98,43
3905,00;98,33
3904,00;98,26
3903,00;98,21
3902,00;98,20
3901,00;98,25
3900,00;98,36
3899,00;98,50
3898,00;98,61
3897,00;98,65
3896,00;98,67
3895,00;98,66
3894,00;98,62
3893,00;98,58
3892,00;98,56
3891,00;98,57
3890,00;98,54
3889,00;98,45
3888,00;98,39
3887,00;98,39
3886,00;98,45
3885,00;98,48
3884,00;98,43
3883,00;98,34
3882,00;98,34
3881,00;98,42
3880,00;98,51
3879,00;98,53
3878,00;98,47
3877,00;98,41
3876,00;98,41
3875,00;98,42
3874,00;98,37
3873,00;98,24
3872,00;98,10
3871,00;98,06
3870,00;98,15
3869,00;98,24
3868,00;98,22
3867,00;98,19
3866,00;98,23
3865,00;98,33
3864,00;98,41
3863,00;98,44
3862,00;98,46
3861,00;98,50
3860,00;98,54
3859,00;98,52
3858,00;98,40
3857,00;98,17
3856,00;97,87
3855,00;97,62
3854,00;97,58
3853,00;97,76
3852,00;97,95
3851,00;98,07
3850,00;98,25
3849,00;98,51
3848,00;98,69
3847,00;98,74
3846,00;98,69
3845,00;98,61
3844,00;98,51
3843,00;98,41
3842,00;98,28
3841,00;98,14
3840,00;98,05
3839,00;98,02
3838,00;98,06
3837,00;98,13
3836,00;98,18
3835,00;98,24
3834,00;98,31
3833,00;98,41
3832,00;98,50
3831,00;98,55
3830,00;98,55
3829,00;98,54
3828,00;98,55
3827,00;98,57
3826,00;98,55
3825,00;98,44
3824,00;98,26
3823,00;98,12
3822,00;98,09
3821,00;98,13
3820,00;98,13
3819,00;98,04
3818,00;98,01
3817,00;98,14
3816,00;98,35
3815,00;98,49
3814,00;98,52
3813,00;98,54
3812,00;98,60
3811,00;98,64
3810,00;98,57
3809,00;98,44
3808,00;98,36
3807,00;98,34
3806,00;98,31
3805,00;98,20
3804,00;98,07
3803,00;98,05
3802,00;98,13
3801,00;98,24
3800,00;98,25
3799,00;98,21
3798,00;98,25
3797,00;98,40
3796,00;98,53
3795,00;98,59
3794,00;98,60
3793,00;98,61
3792,00;98,66
3791,00;98,69
3790,00;98,69
3789,00;98,66
3788,00;98,62
3787,00;98,58
3786,00;98,56
3785,00;98,55
3784,00;98,53
3783,00;98,48
3782,00;98,43
3781,00;98,41
3780,00;98,42
3779,00;98,46
3778,00;98,48
3777,00;98,49
