90min.csv;;Kemi1\Kemi01;29-09-2017 14:12:59;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;2.9552
201;2.9907
202;3.0728
203;3.1126
204;3.15
205;3.1839
206;3.1898
207;3.1834
208;3.1676
209;3.1611
210;3.1484
211;3.125
212;3.121
213;3.1058
214;3.0971
215;3.077
216;3.0515
217;3.0317
218;3.0483
219;3.0381
220;3.0341
221;3.0317
222;3.0378
223;3.0446
224;3.0731
225;3.0495
226;3.0718
227;3.0925
228;3.1117
229;3.1268
230;3.1175
231;3.1078
232;3.0956
233;3.0765
234;3.0897
235;3.087
236;3.0829
237;3.0765
238;3.0679
239;3.0627
240;3.0634
241;3.0715
242;3.0813
243;3.0806
244;3.0643
245;3.0493
246;3.0476
247;3.0596
248;3.0571
249;3.0431
250;3.0226
251;3.0054
252;3.0009
253;2.997
254;2.972
255;2.9488
256;2.9417
257;2.9398
258;2.94
259;2.942
260;2.9426
261;2.934
262;2.9449
263;2.8891
264;2.8821
265;2.8728
266;2.8575
267;2.8521
268;2.8432
269;2.8345
270;2.824
271;2.8322
272;2.833
273;2.8391
274;2.8162
275;2.8053
276;2.8109
277;2.8116
278;2.811
279;2.8065
280;2.8054
281;2.8159
282;2.8218
283;2.8224
284;2.825
285;2.829
286;2.8355
287;2.8454
288;2.8362
289;2.8344
290;2.845
291;2.8519
292;2.8492
293;2.8518
294;2.8626
295;2.8704
296;2.8778
297;2.8801
298;2.8534
299;2.7278
300;2.4898
301;2.2022
302;1.973
303;1.7954
304;1.6719
305;1.6023
306;1.5712
307;1.5685
308;1.5851
309;1.6164
310;1.6625
311;1.7214
312;1.7861
313;1.8561
314;1.9416
315;2.0196
316;2.0985
317;2.1873
318;2.2763
319;2.355
320;2.4242
321;2.4888
322;2.5523
323;2.6181
324;2.6661
325;2.6915
326;2.7171
327;2.7345
328;2.7431
329;2.7579
330;2.7601
331;2.7697
332;2.7735
333;2.785
334;2.7845
335;2.7753
336;2.7682
337;2.767
338;2.7698
339;2.7594
340;2.7526
341;2.7546
342;2.7545
343;2.758
344;2.7721
345;2.7722
346;2.7606
347;2.7388
348;2.7288
349;2.7259
350;2.7213
351;2.7139
352;2.7095
353;2.7139
354;2.7108
355;2.7037
356;2.6957
357;2.6828
358;2.6402
359;2.5636
360;2.4803
361;2.3658
362;2.2341
363;2.0627
364;1.8606
365;1.6778
366;1.5106
367;1.3501
368;1.1984
369;1.053
370;0.9205
371;0.8083
372;0.7106
373;0.6177
374;0.5381
375;0.4728
376;0.4162
377;0.371
378;0.3364
379;0.3032
380;0.2722
381;0.2475
382;0.227
383;0.2095
384;0.1954
385;0.184
386;0.1734
387;0.1649
388;0.158
389;0.1524
390;0.1471
391;0.1422
392;0.1385
393;0.1348
394;0.1314
395;0.1291
396;0.1262
397;0.1236
398;0.1213
399;0.1195
400;0.118
401;0.1166
402;0.1147
403;0.1126
404;0.1114
405;0.11
406;0.1084
407;0.1067
408;0.1059
409;0.105
410;0.1036
411;0.1023
412;0.1016
413;0.1009
414;0.1001
415;0.0993
416;0.0977
417;0.097
418;0.0965
419;0.0957
420;0.0948
421;0.094
422;0.0935
423;0.0926
424;0.092
425;0.0913
426;0.0907
427;0.0899
428;0.0892
429;0.0886
430;0.0878
431;0.0869
432;0.0861
433;0.0854
434;0.0851
435;0.0843
436;0.0838
437;0.0833
438;0.0825
439;0.0819
440;0.0809
441;0.0804
442;0.0798
443;0.0793
444;0.0786
445;0.078
446;0.077
447;0.0762
448;0.0761
449;0.0753
450;0.0747
451;0.0738
452;0.0737
453;0.0726
454;0.0719
455;0.0717
456;0.0708
457;0.0702
458;0.0699
459;0.0688
460;0.0684
461;0.0679
462;0.0673
463;0.0664
464;0.066
465;0.0653
466;0.0646
467;0.0637
468;0.0631
469;0.0625
470;0.0621
471;0.0614
472;0.0604
473;0.0597
474;0.0587
475;0.0579
476;0.0579
477;0.057
478;0.0563
479;0.0554
480;0.0548
481;0.0541
482;0.053
483;0.0522
484;0.0516
485;0.0511
486;0.0505
487;0.0499
488;0.0493
489;0.0487
490;0.0479
491;0.0468
492;0.0465
493;0.0461
494;0.0453
495;0.045
496;0.044
497;0.0437
498;0.0421
499;0.0421
500;0.041
501;0.0405
502;0.0399
503;0.0391
504;0.0386
505;0.0382
506;0.0376
507;0.037
508;0.0365
509;0.0348
510;0.0351
511;0.0339
512;0.0341
513;0.033
514;0.0325
515;0.0316
516;0.032
517;0.0313
518;0.0308
519;0.0301
520;0.0294
521;0.0296
522;0.0288
523;0.0273
524;0.0278
525;0.0273
526;0.0268
527;0.0259
528;0.0259
529;0.025
530;0.0252
531;0.0248
532;0.0244
533;0.0233
534;0.0239
535;0.0232
536;0.023
537;0.0219
538;0.0221
539;0.022
540;0.0214
541;0.0212
542;0.0206
543;0.0208
544;0.0197
545;0.0204
546;0.0198
547;0.0199
548;0.0192
549;0.0192
550;0.0177
551;0.0179
552;0.0179
553;0.0171
554;0.0167
555;0.0166
556;0.0165
557;0.0166
558;0.0168
559;0.0155
560;0.0172
561;0.016
562;0.0161
563;0.0155
564;0.0156
565;0.0153
566;0.0153
567;0.0157
568;0.0152
569;0.0142
570;0.0141
571;0.0135
572;0.0145
573;0.0142
574;0.0137
575;0.014
576;0.0144
577;0.0138
578;0.0123
579;0.0137
580;0.0125
581;0.012
582;0.0128
583;0.0127
584;0.013
585;0.012
586;0.013
587;0.0134
588;0.0118
589;0.0119
590;0.0119
591;0.0118
592;0.0117
593;0.0116
594;0.0113
595;0.0106
596;0.0111
597;0.0119
598;0.011
599;0.0107
600;0.0104
601;0.0119
602;0.0113
603;0.0106
604;0.0113
605;0.0114
606;0.0106
607;0.01
608;0.0109
609;0.0102
610;0.0109
611;0.0094
612;0.0106
613;0.0092
614;0.0102
615;0.0093
616;0.0096
617;0.0093
618;0.0098
619;0.0096
620;0.0088
621;0.0091
622;0.009
623;0.0092
624;0.0085
625;0.0087
626;0.0102
627;0.0093
628;0.0093
629;0.0098
630;0.009
631;0.0091
632;0.0093
633;0.0092
634;0.0086
635;0.0073
636;0.0078
637;0.0096
638;0.0087
639;0.0079
640;0.0086
641;0.0077
642;0.0078
643;0.0073
644;0.0073
645;0.0072
646;0.0069
647;0.007
648;0.0063
649;0.0067
650;0.0066
651;0.0077
652;0.0067
653;0.0069
654;0.0068
655;0.0064
656;0.0067
657;0.0066
658;0.0074
659;0.0082
660;0.0071
661;0.0063
662;0.0064
663;0.0048
664;0.0057
665;0.0065
666;0.0069
667;0.0069
668;0.0073
669;0.0071
670;0.0072
671;0.0078
672;0.0082
673;0.0073
674;0.0068
675;0.0069
676;0.0058
677;0.007
678;0.0071
679;0.0065
680;0.0061
681;0.0071
682;0.0074
683;0.006
684;0.0066
685;0.006
686;0.0077
687;0.0063
688;0.0065
689;0.0064
690;0.0062
691;0.0061
692;0.0059
693;0.0073
694;0.0063
695;0.005
696;0.0056
697;0.0056
698;0.0061
699;0.0061
700;0.0059
701;0.0056
702;0.0055
703;0.005
704;0.0054
705;0.0049
706;0.0047
707;0.0054
708;0.0049
709;0.0052
710;0.0048
711;0.0055
712;0.0046
713;0.0052
714;0.0052
715;0.0049
716;0.0055
717;0.0046
718;0.0052
719;0.0048
720;0.004
721;0.0041
722;0.005
723;0.005
724;0.004
725;0.0045
726;0.0045
727;0.0041
728;0.0042
729;0.0054
730;0.0052
731;0.0041
732;0.0035
733;0.0044
734;0.0053
735;0.0041
736;0.0046
737;0.004
738;0.0039
739;0.004
740;0.0043
741;0.005
742;0.0046
743;0.0045
744;0.0037
745;0.0037
746;0.0032
747;0.0041
748;0.0053
749;0.0031
750;0.0037
751;0.0046
752;0.0046
753;0.0042
754;0.0038
755;0.004
756;0.0039
757;0.0039
758;0.0044
759;0.004
760;0.0034
761;0.0043
762;0.004
763;0.0034
764;0.0044
765;0.0043
766;0.0048
767;0.0034
768;0.0033
769;0.0043
770;0.0045
771;0.0035
772;0.0036
773;0.003
774;0.0033
775;0.0036
776;0.0024
777;0.0047
778;0.0031
779;0.0046
780;0.0037
781;0.0042
782;0.004
783;0.0031
784;0.0037
785;0.0035
786;0.004
787;0.0034
788;0.0035
789;0.0039
790;0.0043
791;0.0033
792;0.0034
793;0.0027
794;0.0033
795;0.0029
796;0.0028
797;0.0038
798;0.0042
799;0.0035
800;0.0053
