2-Naphtol.csv;;Kemi1\Kemi01;15-09-2017 11:54:14;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;2.9158
201;2.9491
202;3.015
203;3.0642
204;3.0799
205;3.0886
206;3.0879
207;3.0572
208;3.0198
209;3.0236
210;2.9989
211;2.9802
212;2.9751
213;2.964
214;2.9567
215;2.9396
216;2.9373
217;2.9342
218;2.95
219;2.9393
220;2.9435
221;2.9502
222;2.9589
223;2.9681
224;2.9749
225;2.9811
226;2.9887
227;3.0083
228;3.0323
229;3.0484
230;3.0414
231;3.0357
232;3.0257
233;3.0142
234;3.0154
235;3.0131
236;3.0017
237;3.002
238;2.992
239;2.9886
240;2.9885
241;3.003
242;3.0075
243;3.0091
244;2.9901
245;2.9746
246;2.9744
247;2.9792
248;2.9704
249;2.9569
250;2.9341
251;2.9088
252;2.9
253;2.8878
254;2.8686
255;2.844
256;2.8368
257;2.8241
258;2.8137
259;2.812
260;2.8171
261;2.8073
262;2.7949
263;2.7704
264;2.7619
265;2.7538
266;2.7404
267;2.7381
268;2.7322
269;2.7244
270;2.7163
271;2.718
272;2.7213
273;2.715
274;2.711
275;2.7057
276;2.7087
277;2.7092
278;2.711
279;2.7091
280;2.7141
281;2.7165
282;2.7217
283;2.7245
284;2.7241
285;2.7254
286;2.7319
287;2.7354
288;2.7403
289;2.7416
290;2.7424
291;2.7515
292;2.7554
293;2.7549
294;2.7641
295;2.7733
296;2.7756
297;2.7822
298;2.7822
299;2.7672
300;2.7157
301;2.5805
302;2.3621
303;2.1565
304;1.9939
305;1.9039
306;1.8726
307;1.8865
308;1.9334
309;1.9974
310;2.0826
311;2.1819
312;2.2819
313;2.3766
314;2.4788
315;2.5563
316;2.6061
317;2.6514
318;2.6839
319;2.7053
320;2.7152
321;2.7179
322;2.7237
323;2.7424
324;2.7504
325;2.7417
326;2.7356
327;2.7291
328;2.7145
329;2.7166
330;2.7132
331;2.7187
332;2.7203
333;2.7266
334;2.7184
335;2.7081
336;2.7016
337;2.7017
338;2.6999
339;2.6975
340;2.6868
341;2.6916
342;2.6878
343;2.6931
344;2.7042
345;2.7004
346;2.6925
347;2.6812
348;2.6627
349;2.6672
350;2.6611
351;2.6567
352;2.6554
353;2.659
354;2.6609
355;2.6625
356;2.6629
357;2.6685
