Azo-dye.csv;;Kemi1\Kemi01;15-09-2017 11:48:50;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;2.9996
201;3.0316
202;3.1054
203;3.1575
204;3.1665
205;3.1979
206;3.2074
207;3.204
208;3.182
209;3.1725
210;3.2074
211;3.1963
212;3.1969
213;3.1987
214;3.2225
215;3.228
216;3.2196
217;3.2307
218;3.2379
219;3.2528
220;3.2513
221;3.244
222;3.257
223;3.2673
224;3.2935
225;3.2656
226;3.2835
227;3.2873
228;3.3139
229;3.3302
230;3.316
231;3.2922
232;3.267
233;3.2476
234;3.2463
235;3.2372
236;3.2373
237;3.2257
238;3.2236
239;3.2126
240;3.208
241;3.2234
242;3.2353
243;3.2371
244;3.225
245;3.2088
246;3.2071
247;3.2305
248;3.2316
249;3.2217
250;3.2005
251;3.1918
252;3.2061
253;3.2228
254;3.1981
255;3.1908
256;3.1896
257;3.2054
258;3.229
259;3.2438
260;3.2632
261;3.2636
262;3.2863
263;3.2164
264;3.2081
265;3.2028
266;3.1911
267;3.189
268;3.1831
269;3.1644
270;3.157
271;3.1808
272;3.1927
273;3.2018
274;3.1754
275;3.1602
276;3.169
277;3.1695
278;3.1615
279;3.1552
280;3.155
281;3.1555
282;3.1721
283;3.1785
284;3.1861
285;3.1972
286;3.2174
287;3.2295
288;3.249
289;3.224
290;3.2332
291;3.2396
292;3.2359
293;3.2365
294;3.257
295;3.2925
296;3.3288
297;3.3644
298;3.406
299;3.4372
300;3.4681
301;3.5331
302;3.5099
303;3.5045
304;3.4985
305;3.5111
306;3.5067
307;3.4806
308;3.5198
309;3.459
310;3.4445
311;3.423
312;3.3971
313;3.3656
314;3.3371
315;3.3298
316;3.2878
317;3.2344
318;3.2139
319;3.1999
320;3.1635
321;3.1338
322;3.1213
323;3.1308
324;3.132
325;3.0993
326;3.0794
327;3.0588
328;3.0157
329;3.0139
330;3.0019
331;2.9879
332;2.9893
333;3.0014
334;2.9872
335;2.9725
336;2.9549
337;2.9492
338;2.9425
339;2.9343
340;2.9262
341;2.916
342;2.9068
343;2.9199
344;2.9313
345;2.9387
346;2.9212
347;2.8941
348;2.8794
349;2.8739
350;2.8793
351;2.8599
352;2.8666
353;2.8642
354;2.8653
355;2.8611
356;2.8461
357;2.8323
358;2.7898
359;2.7138
360;2.6235
361;2.5074
362;2.3772
363;2.2112
364;2.0092
365;1.8276
366;1.6659
367;1.5036
368;1.3554
369;1.2114
370;1.0768
371;0.9632
372;0.8644
373;0.7671
374;0.6839
375;0.616
376;0.5538
377;0.5029
378;0.4648
379;0.4274
380;0.3892
381;0.3593
382;0.3344
383;0.312
384;0.2929
385;0.2768
386;0.2621
387;0.2498
388;0.2397
389;0.2307
390;0.2224
391;0.2149
392;0.2091
393;0.2036
394;0.1986
395;0.1949
396;0.1912
397;0.1881
398;0.1854
399;0.1835
400;0.1817
401;0.1804
402;0.1789
403;0.1779
404;0.1769
405;0.1762
406;0.1756
407;0.1752
408;0.1748
409;0.1745
410;0.1743
411;0.174
412;0.1738
413;0.1738
414;0.1737
415;0.1737
416;0.1735
417;0.1735
418;0.1734
419;0.1731
420;0.1727
421;0.1725
422;0.1721
423;0.1717
424;0.1711
425;0.1703
426;0.1695
427;0.1688
428;0.1676
429;0.1666
430;0.165
431;0.1635
432;0.1619
433;0.1605
434;0.1589
435;0.1573
436;0.1555
437;0.1538
438;0.1521
439;0.1504
440;0.1488
441;0.1472
442;0.1454
443;0.1437
444;0.142
445;0.1402
446;0.1387
447;0.1372
448;0.1355
449;0.1338
450;0.1322
451;0.1303
452;0.1286
453;0.1269
454;0.1251
455;0.1232
456;0.1212
457;0.1196
458;0.1178
459;0.1158
460;0.1147
461;0.1131
462;0.1112
