Azo-dye 1-5.csv;;Kemi1\Kemi01;15-09-2017 13:20:28;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;2.8697
201;2.8811
202;2.9536
203;2.9865
204;3.036
205;3.0504
206;3.0541
207;3.0479
208;3.026
209;3.0342
210;3.0296
211;3.0358
212;3.0421
213;3.0404
214;3.0514
215;3.049
216;3.0419
217;3.0561
218;3.0642
219;3.071
220;3.0641
221;3.0655
222;3.0564
223;3.07
224;3.0773
225;3.0555
226;3.0606
227;3.0708
228;3.0956
229;3.1057
230;3.0972
231;3.0744
232;3.0537
233;3.0334
234;3.0247
235;3.0215
236;3.0134
237;3.0063
238;3.0011
239;2.9895
240;2.9873
241;2.9966
242;3.0116
243;3.0161
244;2.9957
245;2.9731
246;2.9772
247;2.9924
248;2.9808
249;2.9041
250;2.7141
251;2.4163
252;2.1445
253;1.9528
254;1.7998
255;1.6883
256;1.6307
257;1.6071
258;1.6107
259;1.6313
260;1.6568
261;1.6796
262;1.7114
263;1.7527
264;1.8002
265;1.8618
266;1.935
267;2.0091
268;2.0855
269;2.1602
270;2.2218
271;2.2673
272;2.293
273;2.3089
274;2.3245
275;2.3479
276;2.3886
277;2.4334
278;2.4823
279;2.5309
280;2.5758
281;2.6013
282;2.6024
283;2.5785
284;2.5312
285;2.475
286;2.4194
287;2.3729
288;2.3433
289;2.3259
290;2.3296
291;2.3359
292;2.3194
293;2.2683
294;2.1694
295;2.0479
296;1.9096
297;1.7567
298;1.6217
299;1.5006
300;1.383
301;1.2911
302;1.217
303;1.1568
304;1.1067
305;1.063
306;1.0252
307;0.9924
308;0.9623
309;0.9353
310;0.9104
311;0.8863
312;0.8643
313;0.8433
314;0.8215
315;0.8047
316;0.7903
317;0.7757
318;0.7638
319;0.7539
320;0.7464
321;0.7403
322;0.736
323;0.7331
324;0.7324
325;0.7335
326;0.7362
327;0.7408
328;0.7466
329;0.7536
330;0.7616
331;0.7694
332;0.7783
333;0.7875
334;0.7959
335;0.8042
336;0.8115
337;0.8183
338;0.8238
339;0.8278
340;0.831
341;0.8326
342;0.8335
343;0.8332
344;0.8316
345;0.8285
346;0.8237
347;0.8162
348;0.8064
349;0.7934
350;0.7777
351;0.7588
352;0.7355
353;0.7092
354;0.6822
355;0.6508
356;0.6168
357;0.5804
358;0.5461
359;0.505
360;0.4643
361;0.4241
362;0.3917
363;0.3595
364;0.3214
365;0.2889
366;0.2604
367;0.2333
368;0.2072
369;0.184
370;0.1623
371;0.1441
372;0.1284
373;0.1132
374;0.1005
375;0.0893
376;0.08
377;0.0722
378;0.0663
379;0.061
380;0.0553
381;0.0507
382;0.0465
383;0.0433
384;0.0404
385;0.0376
386;0.036
387;0.034
388;0.0322
389;0.0309
390;0.0299
391;0.0287
392;0.0277
393;0.0271
394;0.0265
395;0.0258
396;0.0255
397;0.025
398;0.0246
399;0.0243
400;0.0242
401;0.024
402;0.0237
403;0.0233
404;0.0233
405;0.0233
406;0.023
407;0.0232
408;0.0232
409;0.0233
410;0.0231
411;0.0231
412;0.0231
413;0.0231
414;0.0234
415;0.0228
416;0.023
417;0.0232
418;0.023
419;0.023
420;0.0231
421;0.0229
422;0.0231
423;0.0228
424;0.0228
425;0.0229
426;0.0227
427;0.0224
428;0.0224
429;0.0222
430;0.0217
431;0.0219
432;0.0214
433;0.0211
434;0.0212
435;0.0206
436;0.0206
437;0.0205
438;0.0204
439;0.0198
440;0.0196
441;0.0194
442;0.0191
443;0.0191
444;0.0188
445;0.0186
446;0.0183
447;0.018
448;0.0177
449;0.0176
450;0.0175
451;0.0169
452;0.0166
453;0.0166
454;0.0163
455;0.0161
456;0.0159
457;0.0158
458;0.0155
459;0.0154
460;0.015
461;0.0147
462;0.0144
463;0.0141
464;0.0139
465;0.0137
466;0.0135
467;0.0135
468;0.0135
469;0.0134
470;0.0127
471;0.013
472;0.013
473;0.0129
474;0.013
475;0.0127
476;0.0129
477;0.0133
478;0.0128
479;0.0128
480;0.0129
481;0.0128
482;0.0129
483;0.0125
484;0.0125
485;0.0129
486;0.0128
487;0.0126
488;0.0129
489;0.0131
490;0.013
491;0.013
492;0.0129
493;0.0131
494;0.0124
495;0.0129
496;0.013
497;0.0124
498;0.013
499;0.0126
500;0.0128
501;0.0124
502;0.0121
503;0.0122
504;0.0121
505;0.0118
506;0.0116
507;0.0121
508;0.0124
509;0.012
510;0.0121
511;0.012
512;0.0114
513;0.0115
514;0.012
515;0.0116
516;0.0116
517;0.0111
518;0.0115
519;0.0109
520;0.0106
521;0.0108
522;0.0108
523;0.0108
524;0.0099
525;0.0102
526;0.01
527;0.0101
528;0.0101
529;0.0097
530;0.0097
531;0.0091
532;0.0092
533;0.0093
534;0.0087
535;0.0081
536;0.0083
537;0.0082
538;0.0075
539;0.0075
540;0.0074
541;0.0074
542;0.007
543;0.0068
544;0.0063
545;0.0061
546;0.006
547;0.0055
548;0.0061
