171020_100min_New2Naphtoltest.csv;;Kemi1\Kemi01;20-10-2017 14:46:27;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;2.9704
201;3.0367
202;3.091
203;3.1446
204;3.1489
205;3.1737
206;3.1553
207;3.1454
208;3.1259
209;3.1262
210;3.1018
211;3.1061
212;3.0947
213;3.0894
214;3.0996
215;3.0879
216;3.0845
217;3.0955
218;3.1012
219;3.1032
220;3.1074
221;3.117
222;3.1218
223;3.1337
224;3.1594
225;3.1491
226;3.1673
227;3.1848
228;3.2089
229;3.222
230;3.2112
231;3.2043
232;3.1908
233;3.1722
234;3.1791
235;3.1819
236;3.1717
237;3.1694
238;3.1553
239;3.1512
240;3.1598
241;3.1664
242;3.1736
243;3.1705
244;3.1585
245;3.1476
246;3.1515
247;3.1589
248;3.1582
249;3.1469
250;3.1233
251;3.1127
252;3.1138
253;3.1126
254;3.0861
255;3.0702
256;3.084
257;3.0586
258;3.0613
259;3.0721
260;3.0756
261;3.0621
262;3.0381
263;3.0081
264;2.9811
265;2.9957
266;2.9716
267;2.9705
268;2.9568
269;2.9442
270;2.9477
271;2.9476
272;2.9507
273;2.9376
274;2.9273
275;2.9216
276;2.9235
277;2.9261
278;2.9207
279;2.917
280;2.9173
281;2.9263
282;2.9343
283;2.939
284;2.9314
285;2.9421
286;2.9536
287;2.9764
288;2.9536
289;2.9558
290;2.9672
291;2.9685
292;2.9583
293;2.9659
294;2.9848
295;2.9988
296;3.0098
297;3.0094
298;2.97
299;2.8384
300;2.6309
301;2.3938
302;2.2048
303;2.0629
304;1.9561
305;1.8891
306;1.8512
307;1.8356
308;1.8364
309;1.8465
310;1.8692
311;1.9011
312;1.9374
313;1.9806
314;2.0351
315;2.0816
316;2.1335
317;2.1947
318;2.2581
319;2.3155
320;2.3695
321;2.4267
322;2.4854
323;2.5488
324;2.5966
325;2.6344
326;2.6741
327;2.6996
328;2.7298
329;2.754
330;2.7772
331;2.7904
332;2.8151
333;2.833
334;2.8376
335;2.8389
336;2.8293
337;2.8426
338;2.8446
339;2.8341
340;2.8293
341;2.8292
342;2.8294
343;2.8386
344;2.8499
345;2.851
346;2.836
347;2.8133
348;2.8091
349;2.8061
350;2.7908
351;2.7889
352;2.7753
353;2.7649
354;2.7523
355;2.7277
356;2.6931
357;2.6429
358;2.567
359;2.4543
360;2.3376
361;2.2026
362;2.0748
363;1.9255
364;1.756
365;1.6066
366;1.4731
367;1.3441
368;1.224
369;1.1075
370;1.0009
371;0.9103
372;0.8318
373;0.7543
374;0.6887
375;0.6337
376;0.5843
377;0.5454
378;0.5148
379;0.4845
380;0.4556
381;0.4319
382;0.4119
383;0.3939
384;0.3791
385;0.3659
386;0.354
387;0.3439
388;0.3347
389;0.3269
390;0.3192
391;0.3115
392;0.3064
393;0.2999
394;0.2944
395;0.2898
396;0.2842
397;0.2792
398;0.275
399;0.2702
400;0.2663
401;0.2626
402;0.2585
403;0.2545
404;0.2506
405;0.2474
406;0.244
407;0.2407
408;0.237
409;0.2337
410;0.2302
411;0.2276
412;0.2248
413;0.2217
414;0.2188
415;0.2157
416;0.213
417;0.2103
418;0.2075
419;0.2046
420;0.2013
421;0.1991
422;0.1966
423;0.1935
424;0.1916
425;0.1888
426;0.1866
427;0.1843
428;0.1819
429;0.1796
430;0.177
431;0.1739
432;0.172
433;0.17
434;0.1678
435;0.1657
436;0.1638
437;0.1616
438;0.1596
439;0.1576
440;0.1551
441;0.1539
442;0.1515
443;0.15
444;0.1482
445;0.1465
446;0.1447
447;0.1433
448;0.1418
449;0.1403
450;0.1388
451;0.1372
452;0.1358
453;0.1343
454;0.1329
455;0.1319
456;0.1301
457;0.129
458;0.1278
459;0.1264
460;0.1253
461;0.1243
462;0.1228
463;0.1217
464;0.1208
465;0.1196
466;0.1182
467;0.1175
468;0.1163
469;0.1152
470;0.1145
471;0.1131
472;0.1121
473;0.1114
474;0.11
475;0.1092
476;0.1079
477;0.1068
478;0.1058
479;0.105
480;0.104
481;0.1029
482;0.1018
483;0.1006
484;0.0996
485;0.0992
486;0.0983
487;0.0972
