171026_Azo_A.csv;;Kemi1\Kemi01;26-10-2017 11:08:17;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;3.5501
201;3.6407
202;3.715
203;3.7821
204;3.7836
205;3.7575
206;3.806
207;3.7451
208;3.7784
209;3.8374
210;3.883
211;3.9253
212;3.9323
213;4.0037
214;3.9093
215;3.9521
216;3.9049
217;4.0177
218;3.969
219;3.9712
220;4.0053
221;4.0716
222;4.0745
223;4.2363
224;4.2664
225;4.1234
226;4.1406
227;4.4592
228;4.8435
229;4.5901
230;4.6284
231;4.6244
232;4.4558
233;4.1997
234;4.4013
235;4.3263
236;4.2515
237;4.2035
238;4.1737
239;4.2157
240;4.1791
241;4.4936
242;4.599
243;4.7839
244;4.5121
245;4.4824
246;4.5639
247;4.6777
248;4.5862
249;4.5582
250;4.1857
251;4.1974
252;4.2196
253;4.1531
254;4.1225
255;4.2736
256;4.5334
257;4.2435
258;4.157
259;4.4507
260;4.5268
261;4.6632
262;4.171
263;4.2885
264;4.0832
265;4.351
266;4.239
267;4.2893
268;4.2916
269;4.3118
270;4.2032
271;4.2016
272;4.5607
273;4.3225
274;4.3404
275;4.2461
276;4.2895
277;4.3631
278;4.25
279;4.3117
280;4.2325
281;4.1616
282;4.1886
283;4.2149
284;4.1819
285;4.1444
286;4.1679
287;9.9999
288;4.2928
289;4.4031
290;4.1342
291;4.1945
292;4.1891
293;4.1577
294;4.2037
295;4.2412
296;4.2497
297;4.4604
298;4.508
299;4.2083
300;4.2017
301;4.2854
302;4.273
303;4.2009
304;4.2816
305;4.3332
306;4.2244
307;4.2319
308;4.2173
309;4.1633
310;4.114
311;4.2271
312;4.1825
313;4.1925
314;4.1688
315;4.2321
316;4.1938
317;4.0763
318;4.0534
319;4.083
320;4.1101
321;4.0434
322;4.0547
323;4.2155
324;4.2282
325;4.0398
326;4.0498
327;4.0873
328;4.0139
329;4.115
330;4.036
331;4.0021
332;4.0077
333;4.0978
334;4.1142
335;3.9761
336;4.0112
337;4.072
338;4.0208
339;3.9745
340;4.0204
341;4.082
342;4.0425
343;4.0176
344;4.1932
345;4.166
346;4.0108
347;4.1081
348;4.0032
349;4.0517
350;4.0058
351;4.0788
352;4.1512
353;4.1011
354;4.1091
355;4.0649
356;4.027
357;4.0779
358;4.0822
359;3.9606
360;4.0119
361;4.0151
362;3.9497
363;3.7551
364;3.6491
365;3.5355
366;3.4501
367;3.364
368;3.2422
369;3.1472
370;3.0721
371;3.0014
372;2.9373
373;2.8714
374;2.8311
375;2.7931
376;2.7682
377;2.7481
378;2.739
379;2.7392
380;2.7417
381;2.7512
382;2.7717
383;2.7957
384;2.8244
385;2.865
386;2.9039
387;2.9494
388;2.9867
389;3.0348
390;3.0916
391;3.1473
392;3.1898
393;3.2525
394;3.3017
395;3.3557
396;3.4228
397;3.4643
398;3.5013
399;3.5788
400;3.6101
401;3.6243
402;3.6796
403;3.7344
404;3.8013
405;3.7845
406;3.8578
407;3.8378
408;3.8664
409;3.8706
410;3.8102
411;3.921
412;3.869
413;3.892
414;3.8582
415;3.8421
416;3.9124
417;3.8999
418;3.9474
419;3.9392
420;4.0274
421;3.9936
422;4.0146
423;4.0328
424;3.9628
425;3.9625
426;3.8999
427;3.9147
428;3.7946
429;3.7938
430;3.7119
431;3.7375
432;3.7586
433;3.7216
434;3.7031
435;3.7063
436;3.6956
437;3.7324
438;3.7246
439;3.744
440;3.7832
441;3.7761
442;3.7333
443;3.7521
444;3.7292
445;3.7535
446;3.7812
447;3.7741
448;3.7626
449;3.7566
450;3.7764
451;3.7977
452;3.8129
453;3.7938
454;3.8133
455;3.831
456;3.7535
457;3.8341
458;3.861
459;3.9682
460;4.0246
461;4.001
462;3.8799
463;3.9491
464;3.9439
465;4.0342
466;3.9772
467;3.9817
468;4.0248
469;3.9494
470;3.9936
471;3.987
472;3.9317
473;3.9661
474;3.9624
475;3.962
476;4.033
477;3.9467
478;4.0626
479;4.0685
480;4.065
481;4.087
482;4.3704
483;4.1079
484;4.1615
485;4.2268
486;4.2859
487;4.2976
488;4.3547
489;4.2032
490;4.1431
491;4.2343
492;4.2097
493;4.0953
494;4.114
495;4.0135
496;4.1833
497;4.1251
498;4.1503
499;4.0153
500;4.0399
501;4.0262
502;3.9584
503;4.0469
504;3.9558
505;4.0559
506;3.9888
507;3.992
508;4.0146
509;3.9911
510;4.0151
511;4.0179
512;3.9803
513;4.0803
514;4.0135
515;3.9254
516;3.9614
517;4.0516
518;4.0206
519;4.072
520;3.952
521;3.9898
522;3.952
523;3.9553
524;3.9081
525;3.9764
526;3.9542
527;3.9154
528;3.8453
529;3.9287
530;3.7918
531;3.7764
532;3.71
533;3.6941
534;3.6121
535;3.564
536;3.5152
537;3.4711
538;3.4129
539;3.3523
540;3.2743
541;3.2374
542;3.166
543;3.1093
544;3.0548
545;2.9635
546;2.8994
547;2.8311
548;2.7689
549;2.6972
550;2.6207
551;2.5551
552;2.4843
553;2.4154
554;2.3517
555;2.2876
556;2.2105
557;2.1417
558;2.0766
559;2.0064
560;1.9399
561;1.8763
562;1.8165
563;1.7532
564;1.6885
565;1.6259
566;1.5672
567;1.5086
568;1.4494
569;1.3934
570;1.3364
571;1.2812
572;1.2322
573;1.1849
574;1.1346
575;1.0857
576;1.0428
577;1.0009
578;0.9549
579;0.9124
580;0.8737
581;0.8325
582;0.7954
583;0.7605
584;0.7252
585;0.6906
586;0.6576
587;0.6278
588;0.5981
