171016_Azo_C.csv;;Kemi1\Kemi01;26-10-2017 10:57:23;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;3.4787
201;3.4582
202;3.5706
203;3.6077
204;3.613
205;3.6296
206;3.6374
207;3.641
208;3.6265
209;3.6372
210;3.6457
211;3.6861
212;3.6763
213;3.6824
214;3.6843
215;3.7058
216;3.7078
217;3.7464
218;3.7502
219;3.7674
220;3.7854
221;3.8093
222;3.853
223;3.859
224;3.9077
225;3.8474
226;3.9585
227;4.0407
228;4.0949
229;4.2037
230;4.1373
231;4.1045
232;4.0595
233;3.9886
234;4.0746
235;4.027
236;4.0186
237;4.0178
238;4.0019
239;3.9687
240;4.0149
241;4.0573
242;4.1007
243;4.0926
244;4.0954
245;4.0528
246;4.0816
247;4.1145
248;4.1663
249;4.0788
250;3.9689
251;3.9683
252;3.9675
253;4.1089
254;3.9083
255;3.9433
256;3.984
257;3.8692
258;3.9436
259;4.0155
260;4.0214
261;3.9994
262;4.1232
263;3.8305
264;3.7794
265;3.981
266;3.8318
267;3.8818
268;3.8224
269;3.8269
270;3.8326
271;3.8831
272;3.8675
273;3.8026
274;3.8166
275;3.8004
276;3.829
277;3.8202
278;3.806
279;3.8149
280;3.802
281;3.8454
282;3.8505
283;3.8416
284;3.8197
285;3.8444
286;3.8692
287;3.8236
288;3.8437
289;3.8022
290;3.8785
291;3.8675
292;3.8498
293;3.8369
294;3.8495
295;3.8549
296;3.861
297;3.7744
298;3.5684
299;3.2297
300;2.9101
301;2.6394
302;2.4176
303;2.2661
304;2.1584
305;2.093
306;2.0546
307;2.04
308;2.0429
309;2.0572
310;2.0865
311;2.1269
312;2.1736
313;2.231
314;2.3022
315;2.3675
316;2.4363
317;2.5171
318;2.6098
319;2.6854
320;2.7623
321;2.8496
322;2.9336
323;3.0281
324;3.108
325;3.1649
326;3.2353
327;3.2981
328;3.3481
329;3.4059
330;3.4448
331;3.4758
332;3.5295
333;3.5861
334;3.5938
335;3.5787
336;3.574
337;3.6186
338;3.5883
339;3.603
340;3.588
341;3.5803
342;3.5888
343;3.6075
344;3.6426
345;3.6436
346;3.5982
347;3.5774
348;3.5489
349;3.5366
350;3.5265
351;3.502
352;3.4841
353;3.465
354;3.4295
355;3.3736
356;3.2924
357;3.1958
358;3.0722
359;2.8944
360;2.7368
361;2.5643
362;2.4129
363;2.2459
364;2.0647
365;1.9075
366;1.7687
367;1.639
368;1.5186
369;1.4049
370;1.3038
371;1.218
372;1.1454
373;1.0771
374;1.021
375;0.9757
376;0.9373
377;0.9094
378;0.8894
379;0.8722
380;0.8587
381;0.8506
382;0.8467
383;0.8467
384;0.8496
385;0.8558
386;0.8644
387;0.8748
388;0.8866
389;0.8994
390;0.9152
391;0.9322
392;0.9475
393;0.9663
394;0.986
395;1.0041
396;1.0254
397;1.0473
398;1.0672
399;1.0875
400;1.1076
401;1.1269
402;1.1471
403;1.1681
404;1.1873
405;1.206
406;1.2255
407;1.2453
408;1.2644
409;1.2827
410;1.3003
411;1.316
412;1.3316
413;1.3476
414;1.3622
415;1.3758
416;1.3896
417;1.402
418;1.4132
419;1.4244
420;1.4353
421;1.4434
422;1.4506
423;1.4575
424;1.4629
425;1.4678
426;1.4719
427;1.475
428;1.4771
429;1.4785
430;1.4788
431;1.4791
432;1.4784
433;1.4771
434;1.4756
435;1.473
436;1.47
437;1.4667
438;1.4627
439;1.4583
440;1.4536
441;1.449
442;1.4432
443;1.4366
444;1.4307
445;1.424
446;1.4174
447;1.411
448;1.4045
449;1.3976
450;1.391
451;1.3838
452;1.377
453;1.3708
454;1.3638
455;1.3574
456;1.3515
457;1.3454
458;1.3402
459;1.3353
460;1.3311
461;1.327
462;1.3235
463;1.32
464;1.3177
465;1.3159
466;1.3143
467;1.3136
468;1.3138
469;1.3142
470;1.3149
471;1.3166
472;1.3188
473;1.3215
474;1.3246
475;1.3282
476;1.3319
477;1.3365
478;1.3411
479;1.346
480;1.3508
481;1.356
482;1.3614
483;1.3669
484;1.371
485;1.3756
486;1.3815
487;1.3864
488;1.3908
489;1.3956
490;1.4002
491;1.4041
492;1.4074
493;1.4103
494;1.413
495;1.4159
496;1.4174
497;1.4189
498;1.4195
499;1.4203
500;1.4201
501;1.4193
502;1.4182
503;1.4164
504;1.4146
505;1.4119
506;1.4087
507;1.4051
508;1.4001
509;1.3955
510;1.3896
511;1.383
512;1.3767
513;1.3694
514;1.3611
515;1.3529
516;1.3433
517;1.3336
518;1.324
519;1.3138
520;1.3029
521;1.2902
522;1.2771
523;1.2639
524;1.2505
525;1.2362
526;1.2217
527;1.207
528;1.1908
529;1.1761
530;1.1616
531;1.1433
532;1.1256
533;1.1062
534;1.0897
535;1.0715
536;1.0509
537;1.0321
538;1.0142
539;0.9933
540;0.9714
541;0.9518
542;0.9331
543;0.9141
544;0.893
545;0.8706
546;0.8494
547;0.8283
548;0.8085
549;0.7879
550;0.7672
551;0.7458
552;0.7251
553;0.7051
554;0.6857
555;0.6662
556;0.6445
557;0.6249
558;0.6048
559;0.5851
560;0.5653
561;0.5463
562;0.529
563;0.5103
564;0.4917
565;0.4734
566;0.4561
567;0.4389
568;0.4219
569;0.4052
570;0.3888
571;0.3726
572;0.3585
573;0.3439
574;0.3297
575;0.3155
576;0.303
577;0.2905
578;0.2768
579;0.2647
580;0.2533
581;0.2415
582;0.2307
583;0.2203
584;0.2101
585;0.2005
586;0.1905
587;0.1814
588;0.173
589;0.1644
590;0.1561
591;0.1486
592;0.1411
593;0.1336
594;0.1272
595;0.121
596;0.1144
597;0.1089
598;0.1042
599;0.0987
600;0.0931
601;0.0879
602;0.0835
603;0.0792
604;0.0749
605;0.0712
606;0.0677
607;0.0639
608;0.0608
609;0.0576
610;0.0547
611;0.0519
612;0.0494
613;0.0464
614;0.0438
615;0.0418
616;0.0397
617;0.0379
618;0.0359
619;0.0339
620;0.032
621;0.0303
622;0.0287
623;0.0278
624;0.0258
625;0.0248
626;0.0241
627;0.0231
628;0.0219
629;0.0207
630;0.0199
631;0.0188
632;0.0176
633;0.0167
634;0.0165
635;0.0156
636;0.0148
637;0.0145
638;0.0134
639;0.0132
640;0.0123
641;0.0122
642;0.0113
643;0.0115
644;0.0108
645;0.0107
646;0.0101
647;0.0095
648;0.0097
649;0.0091
650;0.0088
651;0.0085
652;0.008
653;0.0083
654;0.0077
655;0.0074
656;0.0072
657;0.007
658;0.0074
659;0.0067
660;0.0071
661;0.0071
662;0.0058
663;0.0057
664;0.0057
665;0.0062
666;0.0056
667;0.006
668;0.0057
669;0.0055
670;0.0056
671;0.0055
672;0.0055
673;0.0052
674;0.0052
675;0.0048
676;0.0048
677;0.0048
678;0.0051
679;0.0049
680;0.0048
681;0.0047
682;0.0045
683;0.0051
684;0.0044
685;0.0047
686;0.004
687;0.0048
688;0.0047
689;0.0052
690;0.0043
691;0.0044
692;0.0046
693;0.005
694;0.0043
695;0.0044
696;0.0041
697;0.0046
698;0.0041
699;0.0039
700;0.0044
701;0.0039
702;0.0043
703;0.0041
704;0.0038
705;0.0036
706;0.0039
707;0.0037
708;0.0036
709;0.0037
710;0.0031
711;0.0031
712;0.0036
713;0.0037
714;0.0033
715;0.0024
716;0.0035
717;0.0028
718;0.003
719;0.0033
720;0.0028
721;0.0035
722;0.0029
723;0.004
724;0.0034
725;0.0026
726;0.0035
727;0.0032
728;0.0037
729;0.003
730;0.0035
731;0.0028
732;0.0033
733;0.0029
734;0.0035
735;0.0034
736;0.003
737;0.0031
738;0.0029
739;0.0028
740;0.0033
741;0.0023
742;0.003
743;0.0032
744;0.0022
745;0.0033
746;0.0024
747;0.0025
748;0.0028
749;0.0031
750;0.0021
751;0.0026
752;0.0032
753;0.0029
754;0.0026
755;0.0027
756;0.0036
757;0.0033
758;0.0026
759;0.0026
760;0.0026
761;0.0028
762;0.0026
763;0.0024
764;0.0027
765;0.0023
766;0.0026
767;0.0023
768;0.0021
769;0.0024
770;0.0031
771;0.0026
772;0.0025
773;0.0026
774;0.0023
775;0.0025
776;0.0024
777;0.002
778;0.0019
779;0.0027
780;0.0031
781;0.0023
782;0.002
783;0.0022
784;0.0024
785;0.0024
786;0.0016
787;0.0023
788;0.0015
789;0.0024
790;0.0026
791;0.0014
792;0.002
793;0.0019
794;0.0023
795;0.0025
796;0.0032
797;0.0028
798;0.0022
799;0.0015
800;0.0022
