171026_Azo_D.csv;;Kemi1\Kemi01;26-10-2017 10:51:49;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;3.0287
201;3.0601
202;3.1102
203;3.1588
204;3.1752
205;3.1817
206;3.1738
207;3.1368
208;3.1357
209;3.1079
210;3.109
211;3.1028
212;3.1028
213;3.0963
214;3.0986
215;3.0937
216;3.0814
217;3.0924
218;3.1027
219;3.0984
220;3.1053
221;3.1066
222;3.134
223;3.1485
224;3.1645
225;3.1608
226;3.1818
227;3.1987
228;3.2285
229;3.2369
230;3.2308
231;3.217
232;3.1995
233;3.1986
234;3.1959
235;3.1892
236;3.1962
237;3.1823
238;3.1826
239;3.1756
240;3.1802
241;3.1878
242;3.193
243;3.2015
244;3.1752
245;3.1539
246;3.1663
247;3.1691
248;3.1631
249;3.1431
250;3.1203
251;3.101
252;3.0945
253;3.0917
254;3.05
255;3.0428
256;3.0217
257;3.0111
258;3.0139
259;3.0142
260;3.0134
261;3.0075
262;2.9721
263;2.9613
264;2.9443
265;2.9456
266;2.934
267;2.9324
268;2.923
269;2.9155
270;2.9142
271;2.9158
272;2.917
273;2.9121
274;2.9012
275;2.8987
276;2.8992
277;2.9021
278;2.901
279;2.9013
280;2.9016
281;2.908
282;2.9136
283;2.9133
284;2.9089
285;2.9119
286;2.92
287;2.9282
288;2.9171
289;2.9115
290;2.9216
291;2.9251
292;2.9185
293;2.9152
294;2.9198
295;2.9213
296;2.902
297;2.8169
298;2.5905
299;2.2283
300;1.8879
301;1.5984
302;1.3894
303;1.2523
304;1.1634
305;1.119
306;1.1045
307;1.1128
308;1.1386
309;1.1756
310;1.2245
311;1.2839
312;1.3482
313;1.4221
314;1.5101
315;1.5871
316;1.6684
317;1.7649
318;1.8636
319;1.9507
320;2.0387
321;2.1313
322;2.2204
323;2.3172
324;2.3932
325;2.4604
326;2.5359
327;2.5911
328;2.6385
329;2.6865
330;2.7206
331;2.7521
332;2.7818
333;2.8084
334;2.8162
335;2.8203
336;2.8254
337;2.8333
338;2.8322
339;2.8255
340;2.8214
341;2.8254
342;2.8292
343;2.8333
344;2.8434
345;2.839
346;2.8296
347;2.8097
348;2.7912
349;2.786
350;2.781
351;2.7681
352;2.7517
353;2.746
354;2.7258
355;2.6909
356;2.641
357;2.5786
358;2.4807
359;2.3401
360;2.1977
361;2.032
362;1.883
363;1.7111
364;1.5232
365;1.3596
366;1.2145
367;1.077
368;0.9495
369;0.8286
370;0.7223
371;0.6319
372;0.5541
373;0.4811
374;0.4199
375;0.3696
376;0.3263
377;0.2933
378;0.2682
379;0.2444
380;0.2235
381;0.2072
382;0.1946
383;0.1846
384;0.1771
385;0.1716
386;0.1678
387;0.1652
388;0.1637
389;0.1634
390;0.1637
391;0.1645
392;0.1656
393;0.1674
394;0.1696
395;0.1716
396;0.1744
397;0.1776
398;0.1799
399;0.1831
400;0.1859
401;0.1886
402;0.1914
403;0.1944
404;0.1974
405;0.2001
406;0.203
407;0.206
408;0.209
409;0.2117
410;0.2144
411;0.2166
412;0.219
413;0.2213
414;0.2236
415;0.2256
416;0.2276
417;0.2294
418;0.231
419;0.2325
420;0.2338
421;0.2351
422;0.236
423;0.237
424;0.2376
425;0.2379
426;0.2384
427;0.2388
428;0.2388
429;0.2391
430;0.2387
431;0.2383
432;0.2385
433;0.2382
434;0.2379
435;0.2376
436;0.2369
437;0.2366
438;0.2357
439;0.2351
440;0.2345
441;0.2337
442;0.2328
443;0.2319
444;0.2311
445;0.2303
446;0.2293
447;0.2285
448;0.2276
449;0.2266
450;0.2256
451;0.2248
452;0.2239
453;0.223
454;0.2222
455;0.2213
456;0.2206
457;0.2198
458;0.2195
459;0.2187
460;0.2183
461;0.2177
462;0.2172
463;0.2172
464;0.217
465;0.2169
466;0.2169
467;0.2169
468;0.2169
469;0.2175
470;0.2177
471;0.2185
472;0.2189
473;0.2194
474;0.22
475;0.2209
476;0.2214
477;0.2224
478;0.2231
479;0.2241
480;0.2249
481;0.226
482;0.2271
483;0.2279
484;0.2288
485;0.2295
486;0.2304
487;0.2312
488;0.2319
489;0.2328
490;0.2334
491;0.2347
492;0.2349
493;0.2352
494;0.2359
495;0.2364
496;0.2365
497;0.2368
498;0.2368
499;0.2369
500;0.2366
501;0.2371
502;0.2363
503;0.2363
504;0.2359
505;0.235
506;0.2345
507;0.2339
508;0.233
509;0.2319
510;0.2311
511;0.2297
512;0.2284
513;0.2272
514;0.2258
515;0.2242
516;0.2227
517;0.2209
518;0.2193
519;0.217
520;0.2152
521;0.213
522;0.2103
523;0.2084
524;0.2058
525;0.2033
526;0.2007
527;0.1981
528;0.1951
529;0.1928
530;0.1901
531;0.1871
532;0.1843
533;0.1804
534;0.1777
535;0.1748
536;0.171
537;0.1676
538;0.1648
539;0.1612
540;0.1576
541;0.1542
542;0.1509
543;0.148
544;0.1443
545;0.1405
546;0.137
547;0.1339
548;0.1302
549;0.1269
550;0.1236
551;0.1202
552;0.1168
553;0.113
554;0.1099
555;0.1068
556;0.1036
557;0.1002
558;0.0964
559;0.0935
560;0.0902
561;0.0873
562;0.0843
563;0.0817
564;0.0786
565;0.076
566;0.0728
567;0.0701
568;0.0674
569;0.0648
570;0.0619
571;0.0592
572;0.0571
573;0.0549
574;0.0527
575;0.0506
576;0.0484
577;0.0465
578;0.0441
579;0.0421
580;0.0406
581;0.0381
582;0.0373
583;0.0351
584;0.0338
585;0.0323
586;0.0306
587;0.029
588;0.0279
589;0.0262
590;0.0252
591;0.0241
592;0.0228
593;0.0219
594;0.0205
595;0.0196
596;0.0188
597;0.018
598;0.0174
599;0.0163
600;0.0155
601;0.0147
602;0.0142
603;0.0133
604;0.0124
605;0.0121
606;0.0116
607;0.0114
