20171130_20min.csv;;Kemi1\Kemi01;30-11-2017 15:49:09;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;3.3274
201;3.3861
202;3.4464
203;3.5418
204;3.5416
205;3.5904
206;3.6101
207;3.6092
208;3.6057
209;3.6297
210;3.6242
211;3.6302
212;3.6371
213;3.644
214;3.6849
215;3.6531
216;3.6818
217;3.6449
218;3.6728
219;3.6963
220;3.6653
221;3.7166
222;3.7342
223;3.7272
224;3.8749
225;3.8134
226;3.8265
227;3.9111
228;3.9377
229;3.9647
230;3.958
231;3.9159
232;3.8989
233;3.8424
234;3.842
235;3.862
236;3.8657
237;3.8609
238;3.8332
239;3.8393
240;3.8308
241;3.8829
242;3.9069
243;3.9181
244;3.882
245;3.8525
246;3.8683
247;3.9366
248;3.9065
249;3.8968
250;3.8334
251;3.8215
252;3.8542
253;3.7719
254;3.7673
255;3.7543
256;3.724
257;3.7261
258;3.7556
259;3.7737
260;3.8069
261;3.801
262;3.7718
263;3.7147
264;3.7061
265;3.7172
266;3.6755
267;3.6627
268;3.6579
269;3.6525
270;3.6513
271;3.6667
272;3.7006
273;3.7451
274;3.6519
275;3.6475
276;3.6523
277;3.6452
278;3.6547
279;3.6443
280;3.6551
281;3.6534
282;3.6687
283;3.674
284;3.6752
285;3.6735
286;3.6817
287;3.6701
288;3.7009
289;3.6573
290;3.6774
291;3.6977
292;3.6826
293;3.6855
294;3.7025
295;3.7237
296;3.7241
297;3.7275
298;3.6738
299;3.5499
300;3.3163
301;3.0645
302;2.8339
303;2.645
304;2.5043
305;2.407
306;2.3474
307;2.3117
308;2.2984
309;2.3037
310;2.323
311;2.3591
312;2.4004
313;2.4566
314;2.528
315;2.5968
316;2.6665
317;2.751
318;2.8357
319;2.9129
320;2.9886
321;3.0539
322;3.1479
323;3.226
324;3.2953
325;3.3323
326;3.3733
327;3.4003
328;3.4293
329;3.4471
330;3.4628
331;3.4596
332;3.5142
333;3.4996
334;3.5347
335;3.5113
336;3.4931
337;3.5146
338;3.5089
339;3.5174
340;3.4918
341;3.4779
342;3.4742
343;3.5178
344;3.5286
345;3.5181
346;3.5399
347;3.4822
348;3.4825
349;3.4927
350;3.4522
351;3.4495
352;3.4416
353;3.4605
354;3.4245
355;3.4274
356;3.3961
357;3.3743
358;3.3213
359;3.2005
360;3.0835
361;2.944
362;2.803
363;2.6349
364;2.4311
365;2.2528
366;2.0929
367;1.9375
368;1.7951
369;1.6567
370;1.5282
371;1.4175
372;1.3245
373;1.2312
374;1.1517
