20180119_1_A_0min.csv;;Kemi1\Kemi01;20-01-2018 15:45:25;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
400;1.1161
401;1.1322
402;1.1487
403;1.1659
404;1.1827
405;1.1981
406;1.2146
407;1.2311
408;1.2474
409;1.2631
410;1.2777
411;1.2914
412;1.3049
413;1.3186
414;1.3317
415;1.3439
416;1.356
417;1.3672
418;1.3776
419;1.3881
420;1.3975
421;1.4051
422;1.412
423;1.419
424;1.4246
425;1.4293
426;1.4337
427;1.4372
428;1.4401
429;1.4422
430;1.4436
431;1.4443
432;1.4445
433;1.4442
434;1.4436
435;1.4421
436;1.4401
437;1.4377
438;1.4349
439;1.4315
440;1.4277
441;1.424
442;1.4197
443;1.4146
444;1.4094
445;1.4044
446;1.3988
447;1.3939
448;1.3882
449;1.3827
450;1.3769
451;1.3713
452;1.3658
453;1.3602
454;1.3544
455;1.349
456;1.3438
457;1.3389
458;1.3345
459;1.3298
460;1.3264
461;1.3227
462;1.3193
463;1.3168
464;1.3148
465;1.313
466;1.3119
467;1.3109
468;1.3106
469;1.3107
470;1.3116
471;1.3128
472;1.3142
473;1.3162
474;1.3187
475;1.3213
476;1.3247
477;1.328
478;1.3318
479;1.3354
480;1.3396
481;1.3434
482;1.3481
483;1.3517
484;1.355
485;1.3589
486;1.3635
487;1.3673
488;1.3702
489;1.374
490;1.3776
491;1.3806
492;1.3829
493;1.3852
494;1.3868
495;1.3883
496;1.39
497;1.3904
498;1.3904
499;1.3901
500;1.3902
501;1.3885
502;1.387
503;1.3842
504;1.3818
505;1.379
506;1.3753
507;1.3709
508;1.3659
509;1.3606
510;1.3551
511;1.3481
512;1.3416
513;1.3338
514;1.3264
515;1.3177
516;1.3089
517;1.2998
518;1.2894
519;1.2797
520;1.2696
521;1.258
522;1.2456
523;1.2333
524;1.2202
525;1.2073
526;1.1937
527;1.1801
528;1.1654
529;1.1524
530;1.1389
531;1.1229
532;1.1061
533;1.0889
534;1.0736
535;1.0577
536;1.0393
537;1.022
538;1.0059
539;0.9867
540;0.9679
541;0.9492
542;0.9329
543;0.915
544;0.8955
545;0.876
546;0.8555
547;0.8366
548;0.8177
549;0.7996
550;0.7795
551;0.7607
552;0.7407
553;0.7216
554;0.7031
555;0.6836
556;0.6643
557;0.6454
558;0.6274
559;0.6082
560;0.5902
561;0.5725
562;0.5548
563;0.5372
564;0.5188
565;0.5018
566;0.4853
567;0.4694
568;0.4532
569;0.4375
570;0.4225
571;0.4074
572;0.3933
573;0.38
574;0.3663
575;0.353
576;0.3406
577;0.3288
578;0.3166
579;0.3045
580;0.2937
581;0.2817
582;0.2722
583;0.2618
584;0.2528
585;0.243
586;0.2338
587;0.2259
588;0.2169
589;0.2084
590;0.2009
591;0.1935
592;0.1864
593;0.1793
594;0.1729
595;0.1669
596;0.1604
597;0.1545
598;0.1502
599;0.1447
600;0.139
601;0.1342
602;0.13
603;0.1249
604;0.1209
605;0.1176
606;0.1137
607;0.11
608;0.1064
609;0.1032
610;0.1
611;0.0973
612;0.0944
613;0.0917
614;0.0891
615;0.0866
616;0.0845
617;0.082
618;0.0804
619;0.0782
620;0.0758
621;0.0739
622;0.0723
623;0.0707
624;0.0695
625;0.0675
626;0.0664
627;0.0654
628;0.0637
629;0.0623
630;0.0608
631;0.0604
632;0.0594
633;0.059
634;0.0577
635;0.0566
636;0.0556
637;0.0547
638;0.0538
639;0.0532
640;0.0521
641;0.0516
642;0.0508
643;0.0505
644;0.0494
645;0.0489
646;0.0488
647;0.0482
648;0.0468
649;0.0472
650;0.0459
651;0.0463
652;0.0456
653;0.045
654;0.0452
655;0.0444
656;0.0438
657;0.0439
658;0.0432
659;0.0428
660;0.0428
661;0.0419
662;0.042
663;0.0415
664;0.0416
665;0.0414
666;0.0407
667;0.0408
668;0.0398
669;0.0401
670;0.0394
671;0.0392
672;0.0391
673;0.0384
674;0.0384
675;0.0383
676;0.0377
677;0.0369
678;0.0369
679;0.037
680;0.0368
681;0.0365
682;0.0367
683;0.0364
684;0.036
685;0.0362
686;0.036
687;0.0361
688;0.0358
689;0.035
690;0.0353
691;0.0349
692;0.035
693;0.0347
694;0.0345
695;0.0348
696;0.0342
697;0.0339
698;0.0337
699;0.034
700;0.0335
