20180119_2_B_60min.csv;;Kemi1\Kemi01;20-01-2018 16:01:12;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
400;0.1894
401;0.19
402;0.1901
403;0.1907
404;0.1912
405;0.1918
406;0.1925
407;0.1931
408;0.1937
409;0.1945
410;0.1948
411;0.1956
412;0.1962
413;0.1967
414;0.1973
415;0.1979
416;0.1982
417;0.1988
418;0.1992
419;0.1995
420;0.1998
421;0.2001
422;0.2004
423;0.2009
424;0.2007
425;0.201
426;0.2012
427;0.2013
428;0.2015
429;0.2015
430;0.2014
431;0.2014
432;0.2015
433;0.2012
434;0.201
435;0.201
436;0.2008
437;0.2006
438;0.2002
439;0.1999
440;0.1997
441;0.1992
442;0.1988
443;0.1982
444;0.1978
445;0.1974
446;0.1966
447;0.196
448;0.1955
449;0.1949
450;0.1942
451;0.1935
452;0.193
453;0.192
454;0.1914
455;0.1907
456;0.1897
457;0.1887
458;0.1881
459;0.1871
460;0.1863
461;0.1855
462;0.1845
463;0.1838
464;0.1831
465;0.182
466;0.1813
467;0.1803
468;0.1794
469;0.1786
470;0.1779
471;0.1771
472;0.1763
473;0.1755
474;0.1748
475;0.1739
476;0.1729
477;0.1721
478;0.1713
479;0.1706
480;0.1697
481;0.1688
482;0.1678
483;0.167
484;0.1662
485;0.1656
486;0.1649
487;0.164
488;0.1631
489;0.1623
490;0.1612
491;0.1603
492;0.1595
493;0.1589
494;0.1579
495;0.1569
496;0.1558
497;0.1547
498;0.1536
499;0.1525
500;0.1514
501;0.1508
502;0.1492
503;0.1476
504;0.1467
505;0.1457
506;0.1444
507;0.1429
508;0.1414
509;0.1405
510;0.139
511;0.1375
512;0.1362
513;0.1349
514;0.1336
515;0.1317
516;0.1305
517;0.1288
518;0.1274
519;0.1259
520;0.1243
521;0.1229
522;0.1212
523;0.1194
524;0.1174
525;0.1158
526;0.1141
527;0.1126
528;0.1107
529;0.1094
530;0.1076
531;0.1058
532;0.1042
533;0.1022
534;0.1006
535;0.099
536;0.0968
537;0.095
538;0.0938
539;0.0915
540;0.09
541;0.0878
542;0.0864
543;0.0846
544;0.0829
545;0.0809
546;0.0791
547;0.0769
548;0.0756
549;0.0735
550;0.0717
551;0.0703
552;0.0685
553;0.0666
554;0.0647
555;0.0634
556;0.0619
557;0.0599
558;0.0585
559;0.0569
560;0.0553
561;0.0538
562;0.0524
563;0.0508
564;0.049
565;0.0475
566;0.0465
567;0.0446
568;0.0438
569;0.042
570;0.0411
571;0.0395
572;0.0385
573;0.0375
574;0.0362
575;0.0349
576;0.0341
577;0.033
578;0.0321
579;0.0312
580;0.03
581;0.0293
582;0.0279
583;0.0267
584;0.0262
585;0.0254
586;0.0247
587;0.0242
588;0.0233
589;0.023
590;0.0218
591;0.0213
592;0.0204
593;0.0201
594;0.0195
595;0.0188
596;0.0183
597;0.0177
598;0.0171
599;0.017
600;0.0163
601;0.0159
602;0.0151
603;0.0152
604;0.0146
605;0.0142
606;0.0134
607;0.0132
608;0.013
609;0.0128
610;0.0126
611;0.0125
612;0.0119
613;0.012
614;0.0113
615;0.0114
616;0.0108
617;0.0107
618;0.0102
619;0.0101
620;0.0104
621;0.0102
622;0.0097
623;0.0098
624;0.0097
625;0.0089
626;0.0091
627;0.0089
628;0.0091
629;0.0089
630;0.0085
631;0.0084
632;0.0084
633;0.0084
634;0.0082
635;0.0081
636;0.008
637;0.008
638;0.008
639;0.0078
640;0.0082
641;0.0079
642;0.0082
643;0.0081
644;0.0069
645;0.0072
646;0.0076
647;0.0077
648;0.007
649;0.0071
650;0.0072
651;0.0072
652;0.0068
653;0.0069
654;0.0066
655;0.0067
656;0.0069
657;0.0071
658;0.0069
659;0.0072
660;0.0064
661;0.0068
662;0.0059
663;0.0062
664;0.0061
665;0.0063
666;0.0061
667;0.0066
668;0.006
669;0.0067
670;0.0064
671;0.0062
672;0.0063
673;0.0068
674;0.0064
675;0.0064
676;0.0062
677;0.0064
678;0.0064
679;0.0062
680;0.0065
681;0.0059
682;0.0057
683;0.0063
684;0.0058
685;0.0057
686;0.0056
687;0.0058
688;0.0058
689;0.0056
690;0.0052
691;0.0054
692;0.0055
693;0.0054
694;0.0055
695;0.0051
696;0.0054
697;0.005
698;0.0041
699;0.0046
700;0.0046
